Date,Injury,Firstname,Lastname,City,TeamName
"Feb 27, 2018",Recalled from the Chicago Wolves (AHL).,TOMAS,HYKA,VEGAS,GOLDENKNIGHTS
"Feb 24, 2018",Assigned to the Chicago Wolves (AHL).,TOMAS,HYKA,VEGAS,GOLDENKNIGHTS
"Feb 19, 2018",Recalled from the Chicago Wolves (AHL).,TOMAS,HYKA,VEGAS,GOLDENKNIGHTS
"Dec 20, 2017",Assigned to the Chicago Wolves (AHL).,TOMAS,HYKA,VEGAS,GOLDENKNIGHTS
"Dec 18, 2017",Recalled from the Chicago Wolves (AHL).,TOMAS,HYKA,VEGAS,GOLDENKNIGHTS
"Oct 03, 2017",Assigned to the Chicago Wolves (AHL).,TOMAS,HYKA,VEGAS,GOLDENKNIGHTS
"Jun 01, 2017",Signed by the Vegas Golden Knights to a one-year entry-level contract.,TOMAS,HYKA,VEGAS,GOLDENKNIGHTS
"Jun 01, 2014","Unsigned 2012 draft pick, will become an unrestricted free agent.",TOMAS,HYKA,VEGAS,GOLDENKNIGHTS
"Sep 19, 2011",Returned to his junior team (Gatineau-QMJHL).,TOMAS,HYKA,VEGAS,GOLDENKNIGHTS
"Sep 09, 2011",Invited to training camp by the Philadelphia Flyers.,TOMAS,HYKA,VEGAS,GOLDENKNIGHTS
