Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Recalled from the Chicago Wolves (AHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Feb 26, 2018",Assigned to the Chicago Wolves (AHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Feb 10, 2018",Recalled from the Chicago Wolves (AHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Dec 10, 2017",Assigned to the Chicago Wolves (AHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Oct 22, 2017",Recalled from the Chicago Wolves (AHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Oct 19, 2017",Assigned to the Chicago Wolves (AHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Oct 15, 2017",Recalled from the Chicago Wolves (AHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Sep 26, 2017",Assigned to the Chicago Wolves (AHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Jul 01, 2017",Signed as an unrestricted free agent by the Vegas Golden Knights to a one-year contract.,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Jun 26, 2017",Dallas Stars did not tender a qualifying offer.,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Oct 06, 2016",Assigned to the Texas Stars (AHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Jun 30, 2016",Re-signed by the Dallas Stars to a one-year contract.,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Jun 27, 2016",Dallas Stars tendered a qualifying offer.,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Dec 26, 2015",Re-assigned to the Texas Stars (AHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Dec 03, 2015",Re-assigned to the Idaho Steelheads (ECHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Nov 26, 2015",Re-assigned to the Texas Stars (AHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Nov 12, 2015",Re-assigned to the Idaho Steelheads (ECHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Sep 27, 2015",Assigned to the Texas Stars (AHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Feb 02, 2015",Re-assigned to the Texas Stars (AHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Nov 26, 2014",Re-assigned to the Missouri Mavericks (ECHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Oct 07, 2014",Re-assigned to the Idaho Steelheads (ECHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Sep 28, 2014",Assigned to the Texas Stars (AHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Sep 14, 2012",Returned to his junior team (P.E.I.-QMJHL).,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
"Jul 24, 2012",Signed as a free agent by the Dallas Stars to a three-year entry-level contract.,MAXIME,LAGACE,VEGAS,GOLDENKNIGHTS
