Date,Injury,Firstname,Lastname,City,TeamName
"Feb 27, 2018","Upper body injury, day-to-day.",OSCAR,LINDBERG,VEGAS,GOLDENKNIGHTS
"Jul 05, 2017",Re-signed as a restricted free agent by the Vegas Golden Knights to a two-year contract.,OSCAR,LINDBERG,VEGAS,GOLDENKNIGHTS
"Jun 21, 2017",Selected by the Vegas Golden Knights from the New York Rangers in the NHL Expansion Draft.,OSCAR,LINDBERG,VEGAS,GOLDENKNIGHTS
"Oct 23, 2016",Missed 5 games (hip injury).,OSCAR,LINDBERG,VEGAS,GOLDENKNIGHTS
"Oct 11, 2016","Hip injury, injured reserve.",OSCAR,LINDBERG,VEGAS,GOLDENKNIGHTS
"Jul 14, 2015",Re-signed as a restricted free agent by the New York Rangers.,OSCAR,LINDBERG,VEGAS,GOLDENKNIGHTS
"Feb 25, 2015",Assigned to the Hartford Wolf Pack (AHL).,OSCAR,LINDBERG,VEGAS,GOLDENKNIGHTS
"Feb 24, 2015",Recalled from the Hartford Wolf Pack (AHL).,OSCAR,LINDBERG,VEGAS,GOLDENKNIGHTS
"Oct 06, 2014",Assigned to the Hartford Wolf Pack (AHL).,OSCAR,LINDBERG,VEGAS,GOLDENKNIGHTS
"Apr 22, 2014",Recalled from the Hartford Wolf Pack (AHL).,OSCAR,LINDBERG,VEGAS,GOLDENKNIGHTS
"Sep 29, 2013",Assigned to Hartford (AHL).,OSCAR,LINDBERG,VEGAS,GOLDENKNIGHTS
"Jun 01, 2012",Signed by the New York Rangers to a three-year entry-level contract.,OSCAR,LINDBERG,VEGAS,GOLDENKNIGHTS
"May 08, 2011",Acquired from the Phoenix Coyotes.,OSCAR,LINDBERG,VEGAS,GOLDENKNIGHTS
