Date,Injury,Firstname,Lastname,City,TeamName
"Feb 21, 2018",Missed 20 games (undisclosed).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Jan 16, 2018",Signed by the Vegas Golden Knights to a two-year contract extension.,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Jan 05, 2018","Undisclosed, injured reserve.",JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Jun 21, 2017",Selected by the Vegas Golden Knights from the New Jersey Devils in the NHL Expansion Draft.,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Feb 14, 2017",Missed 4 games (upper body injury).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Feb 02, 2017","Upper body injury, injured reserve.",JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Jan 21, 2017",Missed 1 game (illness).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Jan 20, 2017","Illness, day-to-day.",JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Nov 15, 2016",Missed 14 games (broken finger).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Oct 11, 2016","Broken finger, injured reserve.",JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Jul 01, 2016",Re-signed as an unrestricted free agent by the New Jersey Devils to a one-year contract.,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Jun 27, 2016",New Jersey Devils did not tender a qualifying offer.,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Apr 09, 2016",Missed the last 10 regular season games (upper body injury).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Mar 20, 2016","Upper body injury, day-to-day.",JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Mar 17, 2016",Missed 3 games (undisclosed).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Mar 10, 2016","Undisclosed, day-to-day.",JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Feb 19, 2016",Missed 12 games (upper body injury).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Jan 19, 2016","Upper body injury, injured reserve.",JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Oct 27, 2015",Missed 4 games (illness).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Oct 18, 2015","Illness, day-to-day.",JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Apr 11, 2015",Missed the last 2 regular season games (leg injury).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Apr 09, 2015","Leg injury, day-to-day.",JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Dec 04, 2014",Missed 14 games (arm injury).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Nov 06, 2014","Arm injury, injured reserve.",JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Nov 04, 2014","Undisclosed, day-to-day.",JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Apr 14, 2014",Assigned to the Albany Devils (AHL).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Apr 05, 2014",Missed 3 games (undisclosed).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Mar 31, 2014","Undisclosed, day-to-day.",JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Feb 19, 2014",Recalled from the Albany Devils (AHL).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Feb 09, 2014",Assigned to the Albany Devils (AHL).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Nov 25, 2013",Recalled from Albany (AHL) on an emergency basis.,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Nov 19, 2013",Assigned to Albany (AHL).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Nov 19, 2013",Missed 6 games (facial injury).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Nov 10, 2013","Facial injury, injured reserve.",JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Nov 05, 2013","Facial injury, day-to-day.",JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Nov 03, 2013",Recalled from Albany (AHL).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Sep 25, 2013",Assigned to Albany (AHL).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Mar 27, 2013",Signed by the New Jersey Devils to a three-year entry-level contract.,JON,MERRILL,VEGAS,GOLDENKNIGHTS
"Mar 27, 2013",Assigned to Albany (AHL).,JON,MERRILL,VEGAS,GOLDENKNIGHTS
