Date,Injury,Firstname,Lastname,City,TeamName
"Feb 27, 2018","Upper body injury, day-to-day.",JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Feb 26, 2018",Missed 3 games (illness).,JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Feb 23, 2018","Illness, injured reserve.",JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Feb 19, 2018","Illness, day-to-day.",JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Jun 21, 2017",Selected by the Vegas Golden Knights from the Nashville Predators in the NHL Expansion Draft.,JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Apr 06, 2017",Missed 3 games (upper body injury).,JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Apr 01, 2017","Upper body injury, day-to-day.",JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Jan 14, 2017",Missed 5 games (upper body injury).,JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Jan 07, 2017","Upper body injury, injured reserve.",JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Jan 05, 2017","Upper body injury, day-to-day.",JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Dec 06, 2016",Missed 4 games (upper body injury).,JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Nov 26, 2016","Upper body injury, injured reserve.",JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Apr 04, 2015",Missed 9 games (upper body injury).,JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Mar 14, 2015","Upper body injury, sidelined indefinitely.",JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Jan 13, 2015",Missed 5 games (lower body injury).,JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Jan 08, 2015","Lower body injury, injured reserve.",JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Jan 03, 2015","Lower body injury, day-to-day.",JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Dec 22, 2014",Missed 1 game (illness).,JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Dec 20, 2014","Illness, day-to-day.",JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Dec 17, 2014","Fined $2,000 by the NHL.",JAMES,NEAL,VEGAS,GOLDENKNIGHTS
"Jun 27, 2014",Acquired from the Pittsburgh Penguins.,JAMES,NEAL,VEGAS,GOLDENKNIGHTS
