Date,Injury,Firstname,Lastname,City,TeamName
"Feb 13, 2018",Missed 12 games (upper body injury).,TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"Jan 18, 2018","Upper body injury, injured reserve.",TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"Jun 21, 2017",Selected by the Vegas Golden Knights from the Detroit Red Wings in the NHL Expansion Draft.,TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"Apr 10, 2017",Assigned to the Grand Rapids Griffins (AHL).,TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"Mar 19, 2017",Recalled from the Grand Rapids Griffins (AHL) on an emergency basis.,TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"Mar 18, 2017",Assigned to the Grand Rapids Griffins (AHL).,TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"Mar 18, 2017",Recalled from the Grand Rapids Griffins (AHL) on an emergency basis.,TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"Dec 07, 2016",Assigned to the Grand Rapids Griffins (AHL).,TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"Dec 03, 2016",Recalled from the Grand Rapids Griffins (AHL).,TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"Nov 05, 2016",Assigned to the Grand Rapids Griffins (AHL).,TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"Oct 08, 2016","Knee injury, injured reserve.",TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"May 27, 2016",Signed by the Detroit Red Wings to a two-year contract extension.,TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"Jan 05, 2016",Assigned to the Grand Rapids Griffins (AHL).,TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"Dec 19, 2015",Recalled from the Grand Rapids Griffins (AHL).,TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"Oct 04, 2015",Assigned to the Grand Rapids Griffins (AHL).,TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"Oct 06, 2014",Assigned to the Grand Rapids Griffins (AHL).,TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
"Jun 14, 2014",Signed as an undrafted free agent by the Detroit Red Wings to a two-year entry-level contract.,TOMAS,NOSEK,VEGAS,GOLDENKNIGHTS
