Date,Injury,Firstname,Lastname,City,TeamName
"Mar 02, 2018","Undisclosed, day-to-day.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Feb 17, 2018",Missed 16 games (left hand injury).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Jan 10, 2018","Left hand injury, injured reserve.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Jan 05, 2018",Missed 9 games (lower body injury).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Dec 18, 2017","Lower body injury, injured reserve.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Dec 17, 2017","Lower body injury, day-to-day.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Dec 14, 2017","Undisclosed, day-to-day.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Nov 30, 2017",Missed 7 games (lower body injury).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Nov 16, 2017","Lower body injury, injured reserve.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Nov 13, 2017","Lower body injury, day-to-day.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Jun 21, 2017",Selected by the Vegas Golden Knights from the Vancouver Canucks in the NHL Expansion Draft.,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Apr 09, 2016",Missed the last 14 regular season games (upper body injury).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Mar 15, 2016","Upper body injury, sidelined indefinitely.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Jan 16, 2016",Missed 19 games (hand injury).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Dec 09, 2015","Hand injury, injured reserve.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Dec 03, 2015","Hand injury, day-to-day.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Nov 18, 2015",Missed 8 games (foot injury).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Nov 02, 2015","Undisclosed, injured reserve.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Apr 08, 2015",Signed by the Vancouver Canucks to a three-year contract extension.,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Nov 20, 2014",Missed 4 games (lower body injury).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Nov 09, 2014","Lower body injury, day-to-day.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Jun 27, 2014",Acquired from the Anaheim Ducks.,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Apr 13, 2014",Missed 2 games (upper body injury).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Apr 09, 2014","Upper body injury, day-to-day.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Mar 12, 2014",Missed 1 game (lower body injury).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Mar 10, 2014","Lower body injury, day-to-day.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Jan 21, 2014",Missed 26 games (right hand injury).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Jan 17, 2014",Loaned to the Norfolk Admirals (AHL) for conditioning.,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Nov 23, 2013","Right hand injury, injured reserve.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Nov 18, 2013",Missed 1 game (sprained ankle).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Nov 15, 2013","Sprained ankle, day-to-day.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Nov 04, 2013",Missed 15 games (sprained left ankle).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Nov 03, 2013",Recalled from Norfolk (AHL).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Oct 31, 2013",Assigned to Norfolk (AHL) for conditioning.,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Sep 30, 2013","Sprained left ankle, injured reserve.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"May 02, 2013",Missed the last 6 regular season and first playoff games (lower body injury).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Apr 17, 2013","Lower body injury, day-to-day.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Sep 19, 2012",Signed with HC Lugano (Switzerland).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Mar 16, 2012",Missed 2 games (back spasms).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Mar 12, 2012","Back spasms, day-to-day.",LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Mar 08, 2011",Signed by the Anaheim Ducks to a four-year contract extension.,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Nov 10, 2010",Recalled from Syracuse (AHL).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Oct 16, 2010",Assigned to Syracuse (AHL).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Oct 26, 2009",Assigned to Lethbridge (WHL).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Jun 26, 2009",Acquired from the Philadelphia Flyers.,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Apr 14, 2009",Recalled from Philadelphia (AHL).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Apr 09, 2009",Assigned to Philadelphia (AHL).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Feb 02, 2009",Assigned to Lethbridge (WHL).,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
"Oct 01, 2008",Signed by the Philadelphia Flyers to an entry-level contract.,LUCA,SBISA,VEGAS,GOLDENKNIGHTS
