Date,Injury,Firstname,Lastname,City,TeamName
"Mar 01, 2018","Undisclosed, day-to-day.",NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Aug 05, 2017",Re-signed as a restricted free agent by the Vegas Golden Knights to a two-year contract.,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Jul 05, 2017",Filed for salary arbitration.,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Jun 21, 2017",Selected by the Vegas Golden Knights from the Washington Capitals in the NHL Expansion Draft.,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Mar 05, 2016",Missed 2 games (lower body injury).,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Mar 02, 2016","Lower body injury, day-to-day.",NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Jun 17, 2015",Re-signed by the Washington Capitals to a two-year contract.,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"May 14, 2015",Assigned to the Hershey Bears (AHL).,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"May 11, 2015",Recalled from the Hershey Bears (AHL).,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"May 05, 2015",Assigned to the Hershey Bears (AHL).,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"May 03, 2015",Recalled from the Hershey Bears (AHL).,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Mar 24, 2015",Assigned to the Hershey Bears (AHL).,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Mar 10, 2015",Recalled from the Hershey Bears (AHL).,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Jan 10, 2015",Assigned to the Hershey Bears (AHL).,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Jul 13, 2014",Re-signed as a restricted free agent by the Washington Capitals to a one-year two-way contract.,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Jun 30, 2014",Washington Capitals tendered a qualifying offer.,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Jan 25, 2014",Assigned to the Hershey Bears (AHL).,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Jan 21, 2014",Recalled from the Hershey Bears (AHL).,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Dec 15, 2013",Assigned to Hershey (AHL).,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Oct 11, 2013",Recalled from Hershey (AHL).,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Sep 24, 2013",Assigned to Hershey (AHL).,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"May 10, 2013",Recalled from Hershey (AHL).,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Apr 03, 2013",Assigned to Hershey (AHL).,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
"Apr 02, 2013",Signed as a free agent by the Washington Capitals to a two-year entry-level contract.,NATE,SCHMIDT,VEGAS,GOLDENKNIGHTS
