Date,Injury,Firstname,Lastname,City,TeamName
"Apr 21, 2017",Signed by the Carolina Hurricanes to a one-year contract extension.,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Dec 18, 2016",Recalled from his conditioning assignment with the Charlotte Checkers (AHL).,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Dec 07, 2016",Assigned to the Charlotte Checkers (AHL) for conditioning purposes.,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Oct 11, 2016",Claimed off waivers from the Arizona Coyotes.,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Oct 10, 2016",Placed on waivers by the Arizona Coyotes.,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Jul 01, 2016",Re-signed as an unrestricted free agent by the Arizona Coyotes to a one-year contract.,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Jun 27, 2016",Arizona Coyotes did not tender a qualifying offer.,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Feb 29, 2016",Assigned to the Springfield Falcons (AHL).,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Feb 29, 2016",Recalled from the Springfield Falcons (AHL).,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Jul 20, 2015",Re-signed as a restricted free agent by the Arizona Coyotes to a one-year contract.,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Apr 13, 2015",Assigned to the Portland Pirates (AHL).,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Mar 02, 2015",Recalled from the Portland Pirates (AHL).,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Feb 28, 2015",Acquired from the Chicago Blackhawks.,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Dec 14, 2014",Assigned to the Rockford IceHogs (AHL).,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Dec 04, 2014",Recalled from the Rockford IceHogs (AHL).,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Oct 04, 2014",Assigned to the Rockford IceHogs (AHL).,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Oct 02, 2014",Recalled from the Rockford IceHogs (AHL).,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Sep 29, 2014",Assigned to the Rockford IceHogs (AHL).,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Apr 20, 2014",Recalled from the Rockford IceHogs (AHL).,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Sep 23, 2013",Assigned to Rockford (AHL).,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Apr 28, 2013",Recalled from Rockford (AHL).,KLAS,DAHLBECK,CAROLINA,HURRICANES
"Sep 15, 2012",Assigned to Rockford (AHL).,KLAS,DAHLBECK,CAROLINA,HURRICANES
"May 29, 2012",Signed by the Chicago Blackhawks to a three-year entry-level contract.,KLAS,DAHLBECK,CAROLINA,HURRICANES
