Date,Injury,Firstname,Lastname,City,TeamName
"May 05, 2017",Signed by the Carolina Hurricanes to a four-year contract extension.,SCOTT,DARLING,CAROLINA,HURRICANES
"Apr 28, 2017",Acquired from the Chicago Blackhawks.,SCOTT,DARLING,CAROLINA,HURRICANES
"Mar 14, 2017",Missed 5 games (upper body injury).,SCOTT,DARLING,CAROLINA,HURRICANES
"Mar 03, 2017","Upper body injury, sidelined indefinitely.",SCOTT,DARLING,CAROLINA,HURRICANES
"Feb 22, 2015",Recalled from the Rockford IceHogs (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Feb 22, 2015",Signed by the Chicago Blackhawks to a two-year contract extension.,SCOTT,DARLING,CAROLINA,HURRICANES
"Dec 17, 2014",Assigned to the Rockford IceHogs (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Dec 02, 2014",Recalled from the Rockford IceHogs (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Nov 17, 2014",Assigned to the Rockford IceHogs (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Nov 15, 2014",Recalled from the Rockford IceHogs (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Oct 31, 2014",Assigned to the Rockford IceHogs (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Oct 21, 2014",Recalled from the Rockford IceHogs (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Sep 29, 2014",Assigned to the Rockford IceHogs (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Jul 01, 2014",Signed as a free agent by the Chicago Blackhawks to a one-year contract.,SCOTT,DARLING,CAROLINA,HURRICANES
"Mar 03, 2014",Re-assigned to the Milwaukee Admirals (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Feb 27, 2014",Re-assigned to the Cincinnati Cyclones (ECHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Feb 18, 2014",Re-assigned to the Milwaukee Admirals (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Feb 14, 2014",Re-assigned to the Cincinnati Cyclones (ECHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Oct 24, 2013",Re-assigned to Milwaukee (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Oct 15, 2013",Re-assigned to Cincinnati (ECHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Oct 10, 2013",Re-assigned to Milwaukee (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Sep 21, 2013",Assigned to Milwaukee (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Sep 11, 2013",Signed by the Milwaukee Admirals (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Sep 10, 2013",Invited to training camp by the Nashville Predators.,SCOTT,DARLING,CAROLINA,HURRICANES
"Apr 06, 2013",Loaned to Wilkes-Barre/Scranton (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Mar 30, 2013",Re-assigned to Wheeling (ECHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Mar 28, 2013",Loaned to Wilkes-Barre/Scranton (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Nov 19, 2012",Re-assigned to Wheeling (ECHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Nov 14, 2012",Re-assigned to Hamilton (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Oct 04, 2012",Re-assigned to Wheeling Nailers (ECHL).,SCOTT,DARLING,CAROLINA,HURRICANES
"Sep 26, 2012",Signed by the Hamilton Bulldogs (AHL).,SCOTT,DARLING,CAROLINA,HURRICANES
