Date,Injury,Firstname,Lastname,City,TeamName
"Nov 12, 2017",Recalled from the Charlotte Checkers (AHL).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Oct 02, 2017",Assigned to the Charlotte Checkers (AHL).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Jul 27, 2017",Re-signed as a restricted free agent by the Carolina Hurricanes to a one-year two-way contract.,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Jun 26, 2017",Carolina Hurricanes tendered a qualifying offer.,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Apr 03, 2017",Assigned to the Charlotte Checkers (AHL).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Mar 18, 2017",Missed 16 games (upper body injury).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Mar 07, 2017","Upper body injury, day-to-day.",PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Feb 18, 2017",Recalled from the Charlotte Checkers (AHL).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Dec 12, 2016",Assigned to the Charlotte Checkers (AHL).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Nov 28, 2016",Recalled from the Charlotte Checkers (AHL).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Nov 11, 2016",Assigned to the Charlotte Checkers (AHL).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Apr 09, 2016",Missed the last 8 regular season games (undisclosed).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Mar 26, 2016","Undisclosed, day-to-day.",PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Jan 31, 2016",Recalled from the Charlotte Checkers (AHL).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Jan 26, 2016",Assigned to the Charlotte Checkers (AHL).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Jan 18, 2016",Recalled from the Charlotte Checkers (AHL).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Jan 15, 2016",Assigned to the Charlotte Checkers (AHL).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Jan 15, 2016",Missed 6 games (concussion).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Jan 05, 2016","Concussion, sidelined indefinitely.",PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Jan 04, 2016","Upper body injury, day-to-day.",PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Dec 04, 2015",Recalled from the Charlotte Checkers (AHL).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Sep 28, 2015",Assigned to the Charlotte Checkers (AHL).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Oct 02, 2014",Assigned to the Charlotte Checkers (AHL).,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
"Mar 26, 2014",Signed by the Carolina Hurricanes to a three-year entry-level contract.,PHILLIP,DI GIUSEPPE,CAROLINA,HURRICANES
