Date,Injury,Firstname,Lastname,City,TeamName
"Jun 28, 2017",Signed by the Carolina Hurricanes to a two-year contract extension.,BROCK,MCGINN,CAROLINA,HURRICANES
"Jun 26, 2017",Carolina Hurricanes tendered a qualifying offer.,BROCK,MCGINN,CAROLINA,HURRICANES
"Mar 16, 2017",Missed 8 games (upper body injury).,BROCK,MCGINN,CAROLINA,HURRICANES
"Mar 01, 2017","Upper body injury, day-to-day.",BROCK,MCGINN,CAROLINA,HURRICANES
"Feb 28, 2017",Missed 1 game (undisclosed).,BROCK,MCGINN,CAROLINA,HURRICANES
"Feb 26, 2017","Undisclosed, day-to-day.",BROCK,MCGINN,CAROLINA,HURRICANES
"Dec 01, 2016",Missed 3 games (upper body injury).,BROCK,MCGINN,CAROLINA,HURRICANES
"Nov 26, 2016","Upper body injury, day-to-day.",BROCK,MCGINN,CAROLINA,HURRICANES
"Nov 11, 2016",Recalled from the Charlotte Checkers (AHL).,BROCK,MCGINN,CAROLINA,HURRICANES
"Oct 08, 2016",Assigned to the Charlotte Checkers (AHL).,BROCK,MCGINN,CAROLINA,HURRICANES
"Mar 06, 2016",Assigned to the Charlotte Checkers (AHL).,BROCK,MCGINN,CAROLINA,HURRICANES
"Feb 29, 2016",Recalled from the Charlotte Checkers (AHL).,BROCK,MCGINN,CAROLINA,HURRICANES
"Jan 15, 2016",Assigned to the Charlotte Checkers (AHL).,BROCK,MCGINN,CAROLINA,HURRICANES
"Jan 03, 2016",Recalled from the Charlotte Checkers (AHL).,BROCK,MCGINN,CAROLINA,HURRICANES
"Dec 06, 2015",Assigned to the Charlotte Checkers (AHL).,BROCK,MCGINN,CAROLINA,HURRICANES
"Dec 04, 2015",Recalled from the Charlotte Checkers (AHL).,BROCK,MCGINN,CAROLINA,HURRICANES
"Nov 11, 2015",Assigned to the Charlotte Checkers (AHL).,BROCK,MCGINN,CAROLINA,HURRICANES
"Oct 14, 2015",Recalled from the Charlotte Checkers (AHL).,BROCK,MCGINN,CAROLINA,HURRICANES
"Oct 03, 2015",Assigned to the Charlotte Checkers (AHL).,BROCK,MCGINN,CAROLINA,HURRICANES
"Oct 02, 2014",Assigned to the Charlotte Checkers (AHL).,BROCK,MCGINN,CAROLINA,HURRICANES
"Sep 18, 2013",Returned to his junior team (Guelph-OHL).,BROCK,MCGINN,CAROLINA,HURRICANES
"Apr 03, 2013",Signed by the Carolina Hurricanes to a three-year entry-level contract.,BROCK,MCGINN,CAROLINA,HURRICANES
"Apr 03, 2013",Assigned to Charlotte (AHL).,BROCK,MCGINN,CAROLINA,HURRICANES
