Date,Injury,Firstname,Lastname,City,TeamName
"Mar 01, 2018","Upper body injury, day-to-day.",JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Jan 14, 2018",Missed 1 game (illness).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Jan 12, 2018","Illness, day-to-day.",JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Apr 22, 2016",Signed by the Carolina Hurricanes to a two-year contract extension.,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Nov 10, 2015",Missed 11 games (undisclosed).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Nov 08, 2015",Recalled from the Charlotte Checkers (AHL).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Nov 05, 2015",Assigned to the Charlotte Checkers (AHL) for conditioning purposes.,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Oct 16, 2015","Undisclosed, day-to-day.",JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Sep 11, 2015",Acquired from the Chicago Blackhawks.,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Sep 02, 2015",Re-signed as a restricted free agent by the Chicago Blackhawks to a one-year contract.,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Apr 07, 2015",Missed 6 games (upper body injury).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Mar 27, 2015","Upper body injury, day-to-day.",JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Mar 18, 2015",Missed 2 games (suspended by nhl).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Mar 13, 2015",Suspended by the NHL for 2 games.,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Feb 22, 2015",Recalled from the Rockford IceHogs (AHL).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Feb 11, 2015",Assigned to the Rockford IceHogs (AHL).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Dec 15, 2014",Recalled from the Rockford IceHogs (AHL).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Dec 09, 2014",Assigned to the Rockford IceHogs (AHL).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Nov 18, 2014",Recalled from the Rockford IceHogs (AHL).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Nov 17, 2014",Assigned to the Rockford IceHogs (AHL).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Nov 15, 2014",Recalled from the Rockford IceHogs (AHL).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Sep 29, 2014",Assigned to the Rockford IceHogs (AHL).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Apr 02, 2014",Recalled from the Rockford IceHogs (AHL).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Dec 07, 2013",Assigned to Rockford (AHL).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Dec 04, 2013",Recalled from Rockford (AHL).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Oct 20, 2013",Assigned to Rockford (AHL).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Mar 16, 2013",Re-assigned to Rockford (AHL).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"Sep 15, 2012",Returned to his junior team (AIK IF-Sweden).,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
"May 29, 2012",Signed by the Chicago Blackhawks to a three-year entry-level contract.,JOAKIM,NORDSTROM,CAROLINA,HURRICANES
