Date,Injury,Firstname,Lastname,City,TeamName
"Jan 23, 2018",Missed 5 games (upper body injury).,BRETT,PESCE,CAROLINA,HURRICANES
"Jan 12, 2018","Upper body injury, injured reserve.",BRETT,PESCE,CAROLINA,HURRICANES
"Jan 11, 2018","Upper body injury, day-to-day.",BRETT,PESCE,CAROLINA,HURRICANES
"Nov 10, 2017",Missed 3 games (concussion).,BRETT,PESCE,CAROLINA,HURRICANES
"Nov 01, 2017","Concussion, sidelined indefinitely.",BRETT,PESCE,CAROLINA,HURRICANES
"Aug 01, 2017",Signed by the Carolina Hurricanes to a six-year contract extension.,BRETT,PESCE,CAROLINA,HURRICANES
"Feb 12, 2016",Missed 3 games (lower body injury).,BRETT,PESCE,CAROLINA,HURRICANES
"Jan 31, 2016","Lower body injury, injured reserve.",BRETT,PESCE,CAROLINA,HURRICANES
"Jan 26, 2016",Missed 1 game (lower body injury).,BRETT,PESCE,CAROLINA,HURRICANES
"Jan 24, 2016","Lower body injury, day-to-day.",BRETT,PESCE,CAROLINA,HURRICANES
"Jan 21, 2016",Missed 2 games (foot injury).,BRETT,PESCE,CAROLINA,HURRICANES
"Jan 15, 2016","Foot injury, day-to-day.",BRETT,PESCE,CAROLINA,HURRICANES
"Oct 22, 2015",Recalled from the Charlotte Checkers (AHL).,BRETT,PESCE,CAROLINA,HURRICANES
"Oct 18, 2015",Assigned to the Charlotte Checkers (AHL).,BRETT,PESCE,CAROLINA,HURRICANES
"Oct 14, 2015",Recalled from the Charlotte Checkers (AHL).,BRETT,PESCE,CAROLINA,HURRICANES
"Oct 03, 2015",Assigned to the Charlotte Checkers (AHL).,BRETT,PESCE,CAROLINA,HURRICANES
"Mar 27, 2015",Signed by the Carolina Hurricanes to a three-year entry-level contract.,BRETT,PESCE,CAROLINA,HURRICANES
"Mar 27, 2015",Re-assigned to the Charlotte Checkers (AHL).,BRETT,PESCE,CAROLINA,HURRICANES
