Date,Injury,Firstname,Lastname,City,TeamName
"Jan 08, 2018",Missed 41 games (upper body injury).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Nov 13, 2017","Upper body injury, injured reserve.",LEE,STEMPNIAK,CAROLINA,HURRICANES
"Nov 12, 2017",Recalled from his conditioning assignment with the Charlotte Checkers (AHL).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Nov 09, 2017",Assigned to the Charlotte Checkers (AHL) for conditioning purposes.,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Nov 09, 2017",Missed 13 games (hip injury).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Oct 03, 2017","Hip injury, injured reserve.",LEE,STEMPNIAK,CAROLINA,HURRICANES
"Jul 01, 2016",Signed as an unrestricted free agent by the Carolina Hurricanes to a two-year contract.,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Feb 29, 2016",Acquired from the New Jersey Devils.,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Oct 03, 2015",Signed as an unrestricted free agent by the New Jersey Devils to a one-year contract.,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Sep 17, 2015",Signed by the New Jersey Devils to a professional try-out contract.,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Mar 01, 2015",Acquired from the New York Rangers.,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Dec 27, 2014",Missed 3 games (illness).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Dec 20, 2014","Illness, day-to-day.",LEE,STEMPNIAK,CAROLINA,HURRICANES
"Nov 28, 2014",Missed 1 game (back injury).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Nov 19, 2014","Back injury, day-to-day.",LEE,STEMPNIAK,CAROLINA,HURRICANES
"Jul 19, 2014",Signed as an unrestricted free agent by the New York Rangers to a one-year contract.,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Mar 05, 2014",Acquired from the Calgary Flames.,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Mar 03, 2014",Missed 2 games (personal reasons).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Feb 27, 2014","Personal reasons, injured reserve.",LEE,STEMPNIAK,CAROLINA,HURRICANES
"Nov 12, 2013",Missed 7 games (broken foot).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Nov 02, 2013","Broken foot, injured reserve.",LEE,STEMPNIAK,CAROLINA,HURRICANES
"Oct 26, 2013","Lower body injury, day-to-day.",LEE,STEMPNIAK,CAROLINA,HURRICANES
"Jun 29, 2012",Re-signed by the Calgary Flames to a two-year contract.,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Mar 18, 2012",Missed 21 games (ankle injury).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Feb 08, 2012","Ankle injury, injured reserve.",LEE,STEMPNIAK,CAROLINA,HURRICANES
"Feb 03, 2012","Ankle injury, sidelined indefinitely.",LEE,STEMPNIAK,CAROLINA,HURRICANES
"Aug 29, 2011",Acquired from the Phoenix Coyotes.,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Aug 30, 2010",Re-signed as an unrestricted free agent by the Phoenix Coyotes to a two-year contract.,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Mar 03, 2010",Acquired from the Toronto Maple Leafs.,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Nov 24, 2008",Acquired from the St. Louis Blues.,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Oct 22, 2008",Missed 4 games (left knee injury).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Oct 11, 2008","Left knee injury, sidelined indefinitely.",LEE,STEMPNIAK,CAROLINA,HURRICANES
"Jul 25, 2007",Re-signed as a restricted free agent by the St. Louis Blues to a multi-year contract.,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Apr 19, 2006",Assigned to Peoria (AHL).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Feb 26, 2006",Recalled from Peoria (AHL).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Feb 13, 2006",Assigned to Peoria (AHL).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Jan 29, 2006",Recalled from Peoria (AHL).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Dec 28, 2005",Assigned to Peoria (AHL).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Oct 31, 2005",Recalled from Peoria (AHL).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Oct 11, 2005",Assigned to Peoria (AHL).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Oct 06, 2005",Recalled from Peoria (AHL).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Oct 05, 2005",Assigned to Peoria (AHL).,LEE,STEMPNIAK,CAROLINA,HURRICANES
"Jul 29, 2005","Signed by the St. Louis Blues to a three-year, entry-level contract.",LEE,STEMPNIAK,CAROLINA,HURRICANES
