Date,Injury,Firstname,Lastname,City,TeamName
"Jun 15, 2017",Signed by the Carolina Hurricanes to a two-year contract extension.,TEUVO,TERAVAINEN,CAROLINA,HURRICANES
"Jun 15, 2016",Acquired from the Chicago Blackhawks.,TEUVO,TERAVAINEN,CAROLINA,HURRICANES
"Nov 27, 2015",Missed 3 games (upper body injury).,TEUVO,TERAVAINEN,CAROLINA,HURRICANES
"Nov 19, 2015","Upper body injury, day-to-day.",TEUVO,TERAVAINEN,CAROLINA,HURRICANES
"Feb 25, 2015",Recalled from the Rockford IceHogs (AHL).,TEUVO,TERAVAINEN,CAROLINA,HURRICANES
"Feb 12, 2015",Assigned to the Rockford IceHogs (AHL).,TEUVO,TERAVAINEN,CAROLINA,HURRICANES
"Jan 02, 2015",Recalled from the Rockford IceHogs (AHL).,TEUVO,TERAVAINEN,CAROLINA,HURRICANES
"Oct 04, 2014",Assigned to the Rockford IceHogs (AHL).,TEUVO,TERAVAINEN,CAROLINA,HURRICANES
"Apr 10, 2014",Assigned to the Rockford IceHogs (AHL).,TEUVO,TERAVAINEN,CAROLINA,HURRICANES
"Mar 21, 2014",Recalled from the Jokerit Helsinki (Fin).,TEUVO,TERAVAINEN,CAROLINA,HURRICANES
"Sep 23, 2013",Returned to his European team (Jokerit Helsinki-Finland).,TEUVO,TERAVAINEN,CAROLINA,HURRICANES
"Aug 22, 2013",Signed by the Chicago Blackhawks to a three-year entry-level contract.,TEUVO,TERAVAINEN,CAROLINA,HURRICANES
