Date,Injury,Firstname,Lastname,City,TeamName
"Oct 19, 2017",Missed 3 games (concussion).,TREVOR,VAN RIEMSDYK,CAROLINA,HURRICANES
"Oct 14, 2017","Concussion, injured reserve.",TREVOR,VAN RIEMSDYK,CAROLINA,HURRICANES
"Oct 10, 2017","Concussion, day-to-day.",TREVOR,VAN RIEMSDYK,CAROLINA,HURRICANES
"Jun 22, 2017",Acquired from the Vegas Golden Knights.,TREVOR,VAN RIEMSDYK,CAROLINA,HURRICANES
"Jun 21, 2017",Selected by the Vegas Golden Knights from the Chicago Blackhawks in the NHL Expansion Draft.,TREVOR,VAN RIEMSDYK,CAROLINA,HURRICANES
"Dec 02, 2016",Missed 20 games (upper body injury).,TREVOR,VAN RIEMSDYK,CAROLINA,HURRICANES
"Nov 05, 2016","Upper body injury, injured reserve.",TREVOR,VAN RIEMSDYK,CAROLINA,HURRICANES
"Oct 22, 2016","Upper body injury, sidelined indefinitely.",TREVOR,VAN RIEMSDYK,CAROLINA,HURRICANES
"Jul 07, 2015",Signed by the Chicago Blackhawks to a two-year contract extension.,TREVOR,VAN RIEMSDYK,CAROLINA,HURRICANES
"Jun 08, 2015",Missed the last 2 playoff games (right wrist injury).,TREVOR,VAN RIEMSDYK,CAROLINA,HURRICANES
"Jun 03, 2015","Right wrist injury, day-to-day.",TREVOR,VAN RIEMSDYK,CAROLINA,HURRICANES
"May 22, 2015",Missed the last 64 regular season and first 13 playoff games (leg injury).,TREVOR,VAN RIEMSDYK,CAROLINA,HURRICANES
"Feb 25, 2015",Assigned to the Rockford IceHogs (AHL) for conditioning purposes.,TREVOR,VAN RIEMSDYK,CAROLINA,HURRICANES
"Nov 17, 2014","Leg injury, injured reserve.",TREVOR,VAN RIEMSDYK,CAROLINA,HURRICANES
"Mar 24, 2014",Signed as an undrafted free agent by the Chicago Blackhawks to a two-year entry-level contract.,TREVOR,VAN RIEMSDYK,CAROLINA,HURRICANES
