Date,Injury,Firstname,Lastname,City,TeamName
"Feb 27, 2018",Recalled from the Charlotte Checkers (AHL).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Feb 26, 2018",Assigned to the Charlotte Checkers (AHL).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Feb 23, 2018",Recalled from the Charlotte Checkers (AHL).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Feb 19, 2018",Assigned to the Charlotte Checkers (AHL).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Feb 17, 2018",Recalled from the Charlotte Checkers (AHL).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Jan 14, 2018",Assigned to the Charlotte Checkers (AHL).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Jan 12, 2018",Recalled from the Charlotte Checkers (AHL).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Jan 08, 2018",Assigned to the Charlotte Checkers (AHL).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Dec 29, 2017",Recalled from the Charlotte Checkers (AHL).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Oct 02, 2017",Assigned to the Charlotte Checkers (AHL).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Apr 03, 2017",Assigned to the Charlotte Checkers (AHL).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Mar 26, 2017",Recalled from the Charlotte Checkers (AHL).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Mar 17, 2017",Assigned to the Charlotte Checkers (AHL).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Mar 12, 2017",Recalled from the Charlotte Checkers (AHL).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Oct 11, 2016",Assigned to the Charlotte Checkers (AHL).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Sep 25, 2015",Returned to his european team (Lulea HF-Swe).,LUCAS,WALLMARK,CAROLINA,HURRICANES
"Jun 11, 2015",Signed by the Carolina Hurricanes to a three-year entry-level contract.,LUCAS,WALLMARK,CAROLINA,HURRICANES
