Date,Injury,Firstname,Lastname,City,TeamName
"Mar 02, 2018","Undisclosed, day-to-day.",JORDAN,EBERLE,NEW,YORKISLANDERS
"Jun 22, 2017",Acquired from the Edmonton Oilers.,JORDAN,EBERLE,NEW,YORKISLANDERS
"Nov 06, 2015",Missed 13 games (shoulder injury).,JORDAN,EBERLE,NEW,YORKISLANDERS
"Sep 30, 2015","Shoulder injury, injured reserve.",JORDAN,EBERLE,NEW,YORKISLANDERS
"Oct 15, 2014",Missed 1 game (undisclosed).,JORDAN,EBERLE,NEW,YORKISLANDERS
"Oct 14, 2014","Undisclosed, day-to-day.",JORDAN,EBERLE,NEW,YORKISLANDERS
"Mar 22, 2014",Missed 1 game (sprained knee).,JORDAN,EBERLE,NEW,YORKISLANDERS
"Mar 20, 2014","Sprained knee, day-to-day.",JORDAN,EBERLE,NEW,YORKISLANDERS
"Jan 05, 2014",Missed 1 game (knee injury).,JORDAN,EBERLE,NEW,YORKISLANDERS
"Jan 03, 2014","Knee injury, day-to-day.",JORDAN,EBERLE,NEW,YORKISLANDERS
"Jan 06, 2013",Recalled from Oklahoma City (AHL).,JORDAN,EBERLE,NEW,YORKISLANDERS
"Sep 15, 2012",Assigned to Oklahoma City (AHL).,JORDAN,EBERLE,NEW,YORKISLANDERS
"Aug 30, 2012",Signed by the Edmonton Oilers to a six-year contract extension.,JORDAN,EBERLE,NEW,YORKISLANDERS
"Jan 19, 2012",Missed 4 games (knee injury).,JORDAN,EBERLE,NEW,YORKISLANDERS
"Jan 10, 2012","Knee injury, sidelined indefinitely.",JORDAN,EBERLE,NEW,YORKISLANDERS
"Feb 04, 2011",Missed 13 games (sprained left ankle).,JORDAN,EBERLE,NEW,YORKISLANDERS
"Jan 04, 2011","Sprained left ankle, injured reserve.",JORDAN,EBERLE,NEW,YORKISLANDERS
"Mar 16, 2010",Assigned to Springfield (AHL).,JORDAN,EBERLE,NEW,YORKISLANDERS
"Sep 27, 2009",Returned to his junior team (Regina-WHL).,JORDAN,EBERLE,NEW,YORKISLANDERS
"Mar 26, 2009",Signed by the Springfield Falcons (AHL).,JORDAN,EBERLE,NEW,YORKISLANDERS
"Mar 23, 2009",Signed by the Edmonton Oilers to a three-year entry level contract.,JORDAN,EBERLE,NEW,YORKISLANDERS
"Sep 25, 2008",Returned to his junior team (Regina-WHL).,JORDAN,EBERLE,NEW,YORKISLANDERS
