Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Assigned to the Bridgeport Sound Tigers (AHL).,TANNER,FRITZ,NEW,YORKISLANDERS
"Feb 26, 2018",Recalled from the Bridgeport Sound Tigers (AHL).,TANNER,FRITZ,NEW,YORKISLANDERS
"Feb 15, 2018",Missed 5 games (lower body injury).,TANNER,FRITZ,NEW,YORKISLANDERS
"Feb 05, 2018","Lower body injury, day-to-day.",TANNER,FRITZ,NEW,YORKISLANDERS
"Jan 29, 2018",Recalled from the Bridgeport Sound Tigers (AHL).,TANNER,FRITZ,NEW,YORKISLANDERS
"Jan 26, 2018",Assigned to the Bridgeport Sound Tigers (AHL).,TANNER,FRITZ,NEW,YORKISLANDERS
"Jan 14, 2018",Recalled from the Bridgeport Sound Tigers (AHL) on an emergency basis.,TANNER,FRITZ,NEW,YORKISLANDERS
"Jan 07, 2018",Assigned to the Bridgeport Sound Tigers (AHL).,TANNER,FRITZ,NEW,YORKISLANDERS
"Jan 01, 2018",Recalled from the Bridgeport Sound Tigers (AHL).,TANNER,FRITZ,NEW,YORKISLANDERS
"Sep 23, 2017",Assigned to the Bridgeport Sound Tigers (AHL).,TANNER,FRITZ,NEW,YORKISLANDERS
"Mar 29, 2017",Signed as an undrafted free agent by the New York Islanders to a two-year two-way entry-level contract.,TANNER,FRITZ,NEW,YORKISLANDERS
"Oct 06, 2016",Released from training camp by the New York Islanders.,TANNER,FRITZ,NEW,YORKISLANDERS
"Sep 19, 2016",Signed by the New York Islanders to a professional try-out contract.,TANNER,FRITZ,NEW,YORKISLANDERS
"Feb 17, 2016",Loaned to the Bridgeport Sound Tigers (AHL).,TANNER,FRITZ,NEW,YORKISLANDERS
