Date,Injury,Firstname,Lastname,City,TeamName
"Mar 23, 2017",Recalled from the Bridgeport Sound Tigers (AHL).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Dec 31, 2016",Assigned to the Bridgeport Sound Tigers (AHL).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Dec 30, 2016",Placed on waivers by the New York Islanders.,JAROSLAV,HALAK,NEW,YORKISLANDERS
"May 08, 2016",Missed the last 17 regular season and all 11 playoff games (groin).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Mar 09, 2016","Groin, sidelined indefinitely.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Jan 05, 2016",Missed 5 games (upper body injury).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Dec 27, 2015","Upper body injury, injured reserve.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Dec 26, 2015","Upper body injury, day-to-day.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Oct 31, 2015",Missed 1 game (illness).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Oct 29, 2015","Illness, day-to-day.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Oct 17, 2015",Missed 4 games (upper body injury).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Oct 09, 2015","Upper body injury, day-to-day.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Mar 19, 2015",Missed 2 games (lower body injury).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Mar 14, 2015","Lower body injury, day-to-day.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Dec 28, 2014",Missed 1 game (lower body injury).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Dec 27, 2014","Lower body injury, injured reserve.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"May 22, 2014",Signed by the New York Islanders to a four-year contract extension.,JAROSLAV,HALAK,NEW,YORKISLANDERS
"May 01, 2014",Acquired from the Washington Capitals.,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Mar 05, 2014",Acquired from the Buffalo Sabres.,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 28, 2014",Acquired from the St. Louis Blues.,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Jan 07, 2014",Missed 3 games (illness).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Jan 02, 2014","Illness, day-to-day.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Apr 25, 2013",Missed 12 games (groin).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Apr 05, 2013","Groin, sidelined indefinitely.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Apr 04, 2013","Lower body injury, day-to-day.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 20, 2013",Missed 1 game (strained groin).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 19, 2013","Strained groin, day-to-day.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 17, 2013",Missed 2 games (strained groin).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 13, 2013","Strained groin, day-to-day.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 10, 2013",Missed 3 games (lower body injury).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 03, 2013","Lower body injury, injured reserve.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Nov 21, 2012",Signed with Lausitzer Fuchse (Germany).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"May 06, 2012",Missed the last 7 playoff games (lower body injury).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Apr 16, 2012","Lower body injury, day-to-day.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 22, 2012",Missed 2 games (flu).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 18, 2012","Flu, day-to-day.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Mar 09, 2011",Missed 11 games (right hand injury).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Mar 08, 2011","Right hand injury, day-to-day.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 17, 2011","Right hand injury, injured reserve.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 08, 2011",Missed 2 games (upper body injury).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 04, 2011","Upper body injury, day-to-day.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Jul 06, 2010",Re-signed as a restricted free agent by the St. Louis Blues to a four-year contract.,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Jun 23, 2010",St. Louis Blues tendered a qualifying offer.,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Jun 17, 2010",Acquired from the Montreal Canadiens.,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Mar 06, 2009",Missed 1 game (flu).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Mar 04, 2009","Flu, day-to-day.",JAROSLAV,HALAK,NEW,YORKISLANDERS
"Jul 08, 2008",Signed as a restricted free agent by the Montreal Canadiens to a two-year contract.,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Jun 26, 2008",Montreal Canadiens tendered a qualifying offer.,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 26, 2008",Recalled from Hamilton (AHL).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 04, 2008",Assigned to Hamilton (AHL).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Jan 08, 2008",Recalled from Hamilton (AHL).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Dec 15, 2007",Assigned to Hamilton (AHL).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Dec 03, 2007",Recalled from Hamilton (AHL).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Oct 01, 2007",Assigned to Hamilton (AHL).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 15, 2007",Recalled from Hamilton (AHL).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Sep 23, 2006",Assigned to Hamilton (AHL).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Apr 16, 2006",Re-assigned to Long Beach (ECHL).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 22, 2006",Re-assigned to Hamilton (AHL).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 05, 2006",Re-assigned to Long Beach (ECHL).,JAROSLAV,HALAK,NEW,YORKISLANDERS
"Feb 02, 2006",Re-assigned to Hamilton (AHL).,JAROSLAV,HALAK,NEW,YORKISLANDERS
