Date,Injury,Firstname,Lastname,City,TeamName
"Dec 18, 2017",Missed 4 games (upper body injury).,THOMAS,HICKEY,NEW,YORKISLANDERS
"Dec 10, 2017","Upper body injury, injured reserve.",THOMAS,HICKEY,NEW,YORKISLANDERS
"Feb 03, 2017",Missed 2 games (lower body injury).,THOMAS,HICKEY,NEW,YORKISLANDERS
"Jan 26, 2017","Lower body injury, day-to-day.",THOMAS,HICKEY,NEW,YORKISLANDERS
"Nov 28, 2015",Missed 15 games (lower body injury).,THOMAS,HICKEY,NEW,YORKISLANDERS
"Oct 26, 2015","Lower body injury, injured reserve.",THOMAS,HICKEY,NEW,YORKISLANDERS
"Oct 17, 2015",Missed 4 games (upper body injury).,THOMAS,HICKEY,NEW,YORKISLANDERS
"Oct 06, 2015","Upper body injury, injured reserve.",THOMAS,HICKEY,NEW,YORKISLANDERS
"Jul 01, 2015",Re-signed as an unrestricted free agent by the New York Islanders to a two-year contract.,THOMAS,HICKEY,NEW,YORKISLANDERS
"Nov 26, 2014",Missed 1 game (illness).,THOMAS,HICKEY,NEW,YORKISLANDERS
"Nov 24, 2014","Illness, day-to-day.",THOMAS,HICKEY,NEW,YORKISLANDERS
"Jul 18, 2013",Re-signed as a restricted free agent by the New York Islanders to a two-year contract.,THOMAS,HICKEY,NEW,YORKISLANDERS
"Jul 02, 2013",New York Islanders tendered a qualifying offer.,THOMAS,HICKEY,NEW,YORKISLANDERS
"Jan 15, 2013",Claimed off waivers from the Los Angeles Kings.,THOMAS,HICKEY,NEW,YORKISLANDERS
"Jul 17, 2012",Re-signed as a restricted free agent by the Los Angeles Kings to a one-year contract.,THOMAS,HICKEY,NEW,YORKISLANDERS
"Jun 20, 2012",Los Angeles Kings tendered a qualifying offer.,THOMAS,HICKEY,NEW,YORKISLANDERS
"May 03, 2012",Recalled from Manchester (AHL).,THOMAS,HICKEY,NEW,YORKISLANDERS
"Oct 01, 2011",Assigned to Manchester (AHL).,THOMAS,HICKEY,NEW,YORKISLANDERS
"Oct 01, 2010",Assigned to Manchester (AHL).,THOMAS,HICKEY,NEW,YORKISLANDERS
"Sep 28, 2009",Assigned to Manchester (AHL).,THOMAS,HICKEY,NEW,YORKISLANDERS
"Mar 31, 2009",Signed by the Manchester Monarchs (AHL).,THOMAS,HICKEY,NEW,YORKISLANDERS
"Oct 06, 2008",Returned to his junior team (Seattle-WHL).,THOMAS,HICKEY,NEW,YORKISLANDERS
"Sep 21, 2007",Returned to his junior team (Seattle-WHL).,THOMAS,HICKEY,NEW,YORKISLANDERS
"Jul 16, 2007",Signed by the Los Angeles Kings to a entry-level contract.,THOMAS,HICKEY,NEW,YORKISLANDERS
