Date,Injury,Firstname,Lastname,City,TeamName
"Jan 29, 2018",Recalled from the Bridgeport Sound Tigers (AHL).,ROSS,JOHNSTON,NEW,YORKISLANDERS
"Jan 26, 2018",Assigned to the Bridgeport Sound Tigers (AHL).,ROSS,JOHNSTON,NEW,YORKISLANDERS
"Jan 19, 2018",Recalled from the Bridgeport Sound Tigers (AHL).,ROSS,JOHNSTON,NEW,YORKISLANDERS
"Sep 23, 2017",Assigned to the Bridgeport Sound Tigers (AHL).,ROSS,JOHNSTON,NEW,YORKISLANDERS
"Oct 06, 2016",Assigned to the Bridgeport Sound Tigers (AHL).,ROSS,JOHNSTON,NEW,YORKISLANDERS
"Apr 11, 2016",Assigned to the Bridgeport Sound Tigers (AHL).,ROSS,JOHNSTON,NEW,YORKISLANDERS
"Apr 10, 2016",Recalled from the Bridgeport Sound Tigers (AHL) on an emergency basis.,ROSS,JOHNSTON,NEW,YORKISLANDERS
"Feb 29, 2016",Re-assigned to the Bridgeport Sound Tigers (AHL).,ROSS,JOHNSTON,NEW,YORKISLANDERS
"Feb 05, 2016",Re-assigned to the Missouri Mavericks (ECHL).,ROSS,JOHNSTON,NEW,YORKISLANDERS
"Sep 26, 2015",Assigned to the Bridgeport Sound Tigers (AHL).,ROSS,JOHNSTON,NEW,YORKISLANDERS
"Mar 31, 2015",Signed as an undrafted free agent by the New York Islanders to a three-year entry-level contract.,ROSS,JOHNSTON,NEW,YORKISLANDERS
"Sep 29, 2014",Released from training camp by the New York Islanders.,ROSS,JOHNSTON,NEW,YORKISLANDERS
"Sep 19, 2014",Invited to training camp by the New York Islanders.,ROSS,JOHNSTON,NEW,YORKISLANDERS
"Sep 16, 2013",Returned to his junior team (Victoriaville-QMJHL).,ROSS,JOHNSTON,NEW,YORKISLANDERS
"Sep 10, 2013",Invited to training camp by the Anaheim Ducks.,ROSS,JOHNSTON,NEW,YORKISLANDERS
