Date,Injury,Firstname,Lastname,City,TeamName
"Jan 31, 2018",Missed 9 games (upper body injury).,ANDREW,LADD,NEW,YORKISLANDERS
"Jan 14, 2018","Upper body injury, injured reserve.",ANDREW,LADD,NEW,YORKISLANDERS
"Jan 07, 2018","Undisclosed, day-to-day.",ANDREW,LADD,NEW,YORKISLANDERS
"Jan 24, 2017",Missed 4 games (upper body injury).,ANDREW,LADD,NEW,YORKISLANDERS
"Jan 16, 2017","Undisclosed, day-to-day.",ANDREW,LADD,NEW,YORKISLANDERS
"Jul 01, 2016",Signed as an unrestricted free agent by the New York Islanders to a seven-year contract.,ANDREW,LADD,NEW,YORKISLANDERS
"Feb 25, 2016",Acquired from the Winnipeg Jets.,ANDREW,LADD,NEW,YORKISLANDERS
"Apr 11, 2014",Missed the last 3 regular season games (elbow injury).,ANDREW,LADD,NEW,YORKISLANDERS
"Apr 07, 2014","Undisclosed, day-to-day.",ANDREW,LADD,NEW,YORKISLANDERS
"Mar 27, 2014",Missed 1 game (personal reasons).,ANDREW,LADD,NEW,YORKISLANDERS
"Mar 24, 2014","Personal reasons, day-to-day.",ANDREW,LADD,NEW,YORKISLANDERS
"Jul 05, 2011",Re-signed as a restricted free agent by the Winnipeg Jets to a five-year contract.,ANDREW,LADD,NEW,YORKISLANDERS
"Jan 26, 2011",Missed 1 game (lower body injury).,ANDREW,LADD,NEW,YORKISLANDERS
"Jan 23, 2011","Lower body injury, day-to-day.",ANDREW,LADD,NEW,YORKISLANDERS
"Jul 29, 2010",Re-signed as a restricted free agent by the Atlanta Thrashers to a one-year contract.,ANDREW,LADD,NEW,YORKISLANDERS
"Jul 05, 2010",Filed for salary arbitration.,ANDREW,LADD,NEW,YORKISLANDERS
"Jul 01, 2010",Acquired from the Chicago Blackhawks.,ANDREW,LADD,NEW,YORKISLANDERS
"Jun 27, 2010",Chicago Blackhawks tendered a qualifying offer.,ANDREW,LADD,NEW,YORKISLANDERS
"Jun 04, 2010",Missed 3 games (upper body injury).,ANDREW,LADD,NEW,YORKISLANDERS
"May 29, 2010","Upper body injury, day-to-day.",ANDREW,LADD,NEW,YORKISLANDERS
"Jun 23, 2008",Re-signed by the Chicago Blackhawks to a two-year contract.,ANDREW,LADD,NEW,YORKISLANDERS
"Feb 26, 2008",Acquired from the Carolina Hurricanes.,ANDREW,LADD,NEW,YORKISLANDERS
"Jan 08, 2008",Missed 2 games (orbital fracture).,ANDREW,LADD,NEW,YORKISLANDERS
"Jan 04, 2008","Orbital fracture, day-to-day.",ANDREW,LADD,NEW,YORKISLANDERS
"Dec 20, 2007",Missed 1 game (flu).,ANDREW,LADD,NEW,YORKISLANDERS
"Dec 18, 2007","Flu, day-to-day.",ANDREW,LADD,NEW,YORKISLANDERS
"Dec 16, 2007",Recalled from Albany (AHL).,ANDREW,LADD,NEW,YORKISLANDERS
"Dec 11, 2007",Assigned to Albany (AHL).,ANDREW,LADD,NEW,YORKISLANDERS
"Nov 16, 2007",Missed 16 games (sprained ankle).,ANDREW,LADD,NEW,YORKISLANDERS
"Oct 09, 2007","Sprained ankle, day-to-day.",ANDREW,LADD,NEW,YORKISLANDERS
"Apr 07, 2007",Missed 2 games (dehydration).,ANDREW,LADD,NEW,YORKISLANDERS
"Apr 03, 2007","Dehydration, day-to-day.",ANDREW,LADD,NEW,YORKISLANDERS
"Jan 02, 2007",Missed 9 games (appendicitis).,ANDREW,LADD,NEW,YORKISLANDERS
"Dec 31, 2006","Appendicitis, day-to-day.",ANDREW,LADD,NEW,YORKISLANDERS
"Dec 15, 2006","Appendicitis, early January.",ANDREW,LADD,NEW,YORKISLANDERS
"Oct 23, 2006",Missed 4 games (left shoulder injury).,ANDREW,LADD,NEW,YORKISLANDERS
"Oct 16, 2006","Left shoulder injury, sidelined indefinitely.",ANDREW,LADD,NEW,YORKISLANDERS
"Oct 14, 2006","Left shoulder injury, day-to-day.",ANDREW,LADD,NEW,YORKISLANDERS
"Apr 08, 2006",Missed 6 games (lower body injury).,ANDREW,LADD,NEW,YORKISLANDERS
"Mar 29, 2006","Lower body injury, day-to-day.",ANDREW,LADD,NEW,YORKISLANDERS
"Mar 05, 2006",Recalled from Lowell (AHL).,ANDREW,LADD,NEW,YORKISLANDERS
"Feb 12, 2006",Assigned to Lowell (AHL).,ANDREW,LADD,NEW,YORKISLANDERS
"Feb 09, 2006",Recalled from Lowell (AHL).,ANDREW,LADD,NEW,YORKISLANDERS
"Feb 07, 2006",Assigned to Lowell (AHL).,ANDREW,LADD,NEW,YORKISLANDERS
"Feb 05, 2006",Recalled from Lowell (AHL).,ANDREW,LADD,NEW,YORKISLANDERS
"Feb 04, 2006",Assigned to Lowell (AHL).,ANDREW,LADD,NEW,YORKISLANDERS
"Jan 17, 2006",Missed 18 games (knee injury).,ANDREW,LADD,NEW,YORKISLANDERS
"Dec 04, 2005","Knee injury, sidelined indefinitely.",ANDREW,LADD,NEW,YORKISLANDERS
"Dec 03, 2005","Knee injury, left Saturday's game.",ANDREW,LADD,NEW,YORKISLANDERS
"Nov 19, 2005",Recalled from Lowell (AHL).,ANDREW,LADD,NEW,YORKISLANDERS
"Sep 30, 2005",Assigned to Lowell (AHL).,ANDREW,LADD,NEW,YORKISLANDERS
"Sep 27, 2005",Signed by the Carolina Hurricanes to a three-year contract.,ANDREW,LADD,NEW,YORKISLANDERS
