Date,Injury,Firstname,Lastname,City,TeamName
"Apr 24, 2017",Signed by the New York Islanders to a one-year contract extension.,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Dec 01, 2016",Missed 7 games (broken jaw).,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Nov 14, 2016","Broken jaw, injured reserve.",DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Sep 28, 2016",Signed as an unrestricted free agent by the New York Islanders to a one-year contract.,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Jun 30, 2016",Contract bought out by the Boston Bruins.,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Apr 09, 2016",Missed the last 5 regular season games (lower body injury).,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Apr 01, 2016","Lower body injury, day-to-day.",DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Nov 12, 2015",Missed 14 games (back surgery).,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Oct 06, 2015","Back surgery, injured reserve.",DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"May 14, 2014",Missed the last 44 regular season and first 12 playoff games (right knee surgery).,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Dec 28, 2013","Right knee surgery, injured reserve.",DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Nov 29, 2013",Missed 4 games (lower body injury).,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Nov 21, 2013","Lower body injury, sidelined indefinitely.",DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Oct 03, 2013",Signed by the Boston Bruins to a four-year contract extension.,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"May 25, 2013",Missed the last 4 playoff games (lower body injury).,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"May 16, 2013","Lower body injury, day-to-day.",DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Jan 25, 2013",Missed 2 games (lower body injury).,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Jan 21, 2013","Lower body injury, day-to-day.",DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Oct 02, 2012",Signed with Adler Mannheim (Germany).,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Apr 01, 2012",Missed 2 games (leg injury).,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Mar 29, 2012","Leg injury, day-to-day.",DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Jun 05, 2010",Signed by the Boston Bruins to a four-year contract extension.,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"May 14, 2010",Missed the last 4 regular season games and all 13 playoff games (left wrist injury).,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Apr 05, 2010","Left wrist injury, day-to-day.",DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Mar 03, 2010",Acquired from the Florida Panthers.,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Sep 14, 2009",Signed as an unrestricted free agent by the Florida Panthers to a one-year contract.,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Feb 13, 2009",Missed 6 games (lower body injury).,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Jan 29, 2009","Lower body injury, day-to-day.",DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Dec 27, 2008",Missed 1 game (undisclosed).,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Dec 26, 2008","Undisclosed, day-to-day.",DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Dec 13, 2008",Missed 5 games (groin).,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Dec 11, 2008","Groin, day-to-day.",DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Dec 10, 2008",Missed 4 games (groin).,DENNIS,SEIDENBERG,NEW,YORKISLANDERS
"Nov 30, 2008","Groin, day-to-day.",DENNIS,SEIDENBERG,NEW,YORKISLANDERS
