Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Acquired from the Anaheim Ducks.,CHRIS,WAGNER,NEW,YORKISLANDERS
"Mar 01, 2017",Recalled from the San Diego Gulls (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Jan 12, 2017",Assigned to the San Diego Gulls (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Jan 03, 2017",Recalled from the San Diego Gulls (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Dec 06, 2016",Assigned to the San Diego Gulls (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Nov 28, 2016",Recalled from the San Diego Gulls (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Nov 27, 2016",Assigned to the San Diego Gulls (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Nov 14, 2016",Placed on waivers by the Anaheim Ducks.,CHRIS,WAGNER,NEW,YORKISLANDERS
"Apr 28, 2016",Assigned to the San Diego Gulls (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Apr 01, 2016",Signed by the Anaheim Ducks to a two-year contract extension.,CHRIS,WAGNER,NEW,YORKISLANDERS
"Apr 01, 2016",Recalled from the San Diego Gulls (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Mar 05, 2016",Assigned to the San Diego Gulls (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Mar 04, 2016",Recalled from the San Diego Gulls (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Feb 25, 2016",Assigned to the San Diego Gulls (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Feb 25, 2016",Claimed off waivers from the Colorado Avalanche.,CHRIS,WAGNER,NEW,YORKISLANDERS
"Feb 24, 2016",Placed on waivers by the Colorado Avalanche.,CHRIS,WAGNER,NEW,YORKISLANDERS
"Nov 15, 2015",Claimed off waivers from the Anaheim Ducks.,CHRIS,WAGNER,NEW,YORKISLANDERS
"Nov 14, 2015",Placed on waivers by the Anaheim Ducks.,CHRIS,WAGNER,NEW,YORKISLANDERS
"Oct 26, 2015",Recalled from the San Diego Gulls (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Oct 20, 2015",Assigned to the San Diego Gulls (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Jul 16, 2015",Re-signed as a restricted free agent by the Anaheim Ducks to a one-year contract.,CHRIS,WAGNER,NEW,YORKISLANDERS
"May 03, 2015",Missed the last 3 playoff games (upper body injury).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Apr 20, 2015","Upper body injury, day-to-day.",CHRIS,WAGNER,NEW,YORKISLANDERS
"Mar 22, 2015",Recalled from the Norfolk Admirals (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Mar 08, 2015",Assigned to the Norfolk Admirals (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Mar 05, 2015",Recalled from the Utah Grizzlies (ECHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Mar 04, 2015",Assigned to the Utah Grizzlies (ECHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Mar 03, 2015",Recalled from the Norfolk Admirals (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Mar 01, 2015",Assigned to the Norfolk Admirals (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Feb 26, 2015",Recalled from the Norfolk Admirals (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Dec 15, 2014",Assigned to the Norfolk Admirals (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Dec 03, 2014",Recalled from the Norfolk Admirals (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Nov 20, 2014",Assigned to the Norfolk Admirals (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Nov 15, 2014",Recalled from the Norfolk Admirals (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Oct 26, 2014",Assigned to the Norfolk Admirals (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Oct 15, 2014",Recalled from the Norfolk Admirals (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Oct 01, 2014",Assigned to the Norfolk Admirals (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Sep 19, 2013",Assigned to Norfolk (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Sep 14, 2012",Assigned to Norfolk (AHL).,CHRIS,WAGNER,NEW,YORKISLANDERS
"Apr 04, 2012",Signed by the Anaheim Ducks to a three-year entry-level contract.,CHRIS,WAGNER,NEW,YORKISLANDERS
