Date,Injury,Firstname,Lastname,City,TeamName
"Oct 29, 2017",Missed 1 game (undisclosed).,JOEL,ARMIA,WINNIPEG,JETS
"Oct 27, 2017","Undisclosed, day-to-day.",JOEL,ARMIA,WINNIPEG,JETS
"Dec 22, 2016",Missed 24 games (lower body injury).,JOEL,ARMIA,WINNIPEG,JETS
"Nov 08, 2016","Lower body injury, injured reserve.",JOEL,ARMIA,WINNIPEG,JETS
"Nov 04, 2016","Lower body injury, day-to-day.",JOEL,ARMIA,WINNIPEG,JETS
"Jul 14, 2016",Re-signed as a restricted free agent by the Winnipeg Jets to a two-year contract.,JOEL,ARMIA,WINNIPEG,JETS
"Jun 27, 2016",Winnipeg Jets tendered a qualifying offer.,JOEL,ARMIA,WINNIPEG,JETS
"Mar 24, 2016",Missed 8 games (lower body injury).,JOEL,ARMIA,WINNIPEG,JETS
"Mar 08, 2016","Lower body injury, day-to-day.",JOEL,ARMIA,WINNIPEG,JETS
"Dec 17, 2015",Recalled from the Manitoba Moose (AHL).,JOEL,ARMIA,WINNIPEG,JETS
"Dec 12, 2015",Assigned to the Manitoba Moose (AHL).,JOEL,ARMIA,WINNIPEG,JETS
"Nov 23, 2015",Recalled from the Manitoba Moose (AHL).,JOEL,ARMIA,WINNIPEG,JETS
"Sep 28, 2015",Assigned to the Manitoba Moose (AHL).,JOEL,ARMIA,WINNIPEG,JETS
"Feb 11, 2015",Acquired from the Buffalo Sabres.,JOEL,ARMIA,WINNIPEG,JETS
"Dec 24, 2014",Assigned to the Rochester Americans (AHL).,JOEL,ARMIA,WINNIPEG,JETS
"Dec 23, 2014",Recalled from the Rochester Americans (AHL).,JOEL,ARMIA,WINNIPEG,JETS
"Sep 30, 2014",Assigned to the Rochester Americans (AHL).,JOEL,ARMIA,WINNIPEG,JETS
"Nov 12, 2013",Re-assigned to Rochester (AHL).,JOEL,ARMIA,WINNIPEG,JETS
"Sep 14, 2012",Assigned to Assat Pori (Finland).,JOEL,ARMIA,WINNIPEG,JETS
"Jun 16, 2012",Signed by the Buffalo Sabres to a three-year entry-level contract.,JOEL,ARMIA,WINNIPEG,JETS
