Date,Injury,Firstname,Lastname,City,TeamName
"Dec 05, 2017",Missed 1 game (lower body injury).,KYLE,CONNOR,WINNIPEG,JETS
"Dec 03, 2017","Lower body injury, day-to-day.",KYLE,CONNOR,WINNIPEG,JETS
"Oct 16, 2017",Recalled from the Manitoba Moose (AHL).,KYLE,CONNOR,WINNIPEG,JETS
"Oct 03, 2017",Assigned to the Manitoba Moose (AHL).,KYLE,CONNOR,WINNIPEG,JETS
"Apr 09, 2017",Assigned to the Manitoba Moose (AHL).,KYLE,CONNOR,WINNIPEG,JETS
"Apr 03, 2017",Recalled from the Manitoba Moose (AHL).,KYLE,CONNOR,WINNIPEG,JETS
"Dec 09, 2016",Assigned to the Manitoba Moose (AHL).,KYLE,CONNOR,WINNIPEG,JETS
"Nov 25, 2016",Missed 5 games (upper body injury).,KYLE,CONNOR,WINNIPEG,JETS
"Nov 14, 2016","Upper body injury, injured reserve.",KYLE,CONNOR,WINNIPEG,JETS
"Apr 11, 2016",Signed by the Winnipeg Jets to a three-year entry-level contract.,KYLE,CONNOR,WINNIPEG,JETS
