Date,Injury,Firstname,Lastname,City,TeamName
"Jul 12, 2017",Re-signed as a restricted free agent by the Winnipeg Jets to a two-year contract.,ANDREW,COPP,WINNIPEG,JETS
"Jun 26, 2017",Winnipeg Jets tendered a qualifying offer.,ANDREW,COPP,WINNIPEG,JETS
"Mar 03, 2017",Missed 5 games (upper body injury).,ANDREW,COPP,WINNIPEG,JETS
"Feb 15, 2017","Upper body injury, day-to-day.",ANDREW,COPP,WINNIPEG,JETS
"Dec 30, 2016",Recalled from the Manitoba Moose (AHL).,ANDREW,COPP,WINNIPEG,JETS
"Dec 28, 2016",Assigned to the Manitoba Moose (AHL).,ANDREW,COPP,WINNIPEG,JETS
"Nov 02, 2016",Recalled from the Manitoba Moose (AHL).,ANDREW,COPP,WINNIPEG,JETS
"Oct 10, 2016",Assigned to the Manitoba Moose (AHL).,ANDREW,COPP,WINNIPEG,JETS
"Nov 10, 2015",Missed 4 games (upper body injury).,ANDREW,COPP,WINNIPEG,JETS
"Nov 04, 2015","Upper body injury, injured reserve.",ANDREW,COPP,WINNIPEG,JETS
"Nov 01, 2015","Upper body injury, day-to-day.",ANDREW,COPP,WINNIPEG,JETS
"Mar 26, 2015",Signed by the Winnipeg Jets to a three-year entry-level contract.,ANDREW,COPP,WINNIPEG,JETS
