Date,Injury,Firstname,Lastname,City,TeamName
"Feb 27, 2018","Undisclosed, day-to-day.",TOBY,ENSTROM,WINNIPEG,JETS
"Jan 06, 2018",Missed 23 games (lower body injury).,TOBY,ENSTROM,WINNIPEG,JETS
"Nov 19, 2017","Lower body injury, injured reserve.",TOBY,ENSTROM,WINNIPEG,JETS
"Apr 08, 2017",Missed the last 14 regular season games (knee surgery).,TOBY,ENSTROM,WINNIPEG,JETS
"Mar 30, 2017","Knee surgery, remainder of the regular season.",TOBY,ENSTROM,WINNIPEG,JETS
"Mar 10, 2017","Concussion, sidelined indefinitely.",TOBY,ENSTROM,WINNIPEG,JETS
"Feb 28, 2017",Missed 5 games (lower body injury).,TOBY,ENSTROM,WINNIPEG,JETS
"Feb 17, 2017","Lower body injury, injured reserve.",TOBY,ENSTROM,WINNIPEG,JETS
"Feb 13, 2017","Lower body injury, day-to-day.",TOBY,ENSTROM,WINNIPEG,JETS
"Nov 30, 2016",Missed 3 games (personal reasons).,TOBY,ENSTROM,WINNIPEG,JETS
"Nov 25, 2016","Personal reasons, injured reserve.",TOBY,ENSTROM,WINNIPEG,JETS
"Apr 09, 2016",Missed 10 games (knee injury).,TOBY,ENSTROM,WINNIPEG,JETS
"Mar 22, 2016","Knee injury, sidelined indefinitely.",TOBY,ENSTROM,WINNIPEG,JETS
"Apr 10, 2015",Missed 3 games (upper body injury).,TOBY,ENSTROM,WINNIPEG,JETS
"Apr 06, 2015","Upper body injury, day-to-day.",TOBY,ENSTROM,WINNIPEG,JETS
"Jan 10, 2015",Missed 19 games (lower body injury).,TOBY,ENSTROM,WINNIPEG,JETS
"Dec 02, 2014","Lower body injury, injured reserve.",TOBY,ENSTROM,WINNIPEG,JETS
"Nov 25, 2014","Lower body injury, day-to-day.",TOBY,ENSTROM,WINNIPEG,JETS
"Apr 27, 2013",Missed the last 7 regular season games (back injury).,TOBY,ENSTROM,WINNIPEG,JETS
"Apr 11, 2013","Back injury, sidelined indefinitely.",TOBY,ENSTROM,WINNIPEG,JETS
"Mar 24, 2013",Missed 19 games (right shoulder injury).,TOBY,ENSTROM,WINNIPEG,JETS
"Feb 19, 2013","Right shoulder injury, injured reserve.",TOBY,ENSTROM,WINNIPEG,JETS
"Feb 17, 2013","Right shoulder injury, sidelined indefinitely.",TOBY,ENSTROM,WINNIPEG,JETS
"Oct 22, 2012",Signed with the Red Bull Salzburg (Austria).,TOBY,ENSTROM,WINNIPEG,JETS
"Jul 27, 2012",Signed by the Winnipeg Jets to a five-year contract extension.,TOBY,ENSTROM,WINNIPEG,JETS
"Dec 17, 2011",Missed 20 games (broken collar bone).,TOBY,ENSTROM,WINNIPEG,JETS
"Nov 05, 2011","Broken collar bone, injured reserve.",TOBY,ENSTROM,WINNIPEG,JETS
"Nov 03, 2011","Broken collar bone, sidelined indefinitely.",TOBY,ENSTROM,WINNIPEG,JETS
"Apr 10, 2011",Missed the last 4 regular season games (shoulder injury).,TOBY,ENSTROM,WINNIPEG,JETS
"Apr 05, 2011","Shoulder injury, day-to-day.",TOBY,ENSTROM,WINNIPEG,JETS
"Feb 11, 2011",Missed 6 games (fractured finger).,TOBY,ENSTROM,WINNIPEG,JETS
"Jan 23, 2011","Fractured finger, injured reserve.",TOBY,ENSTROM,WINNIPEG,JETS
"Sep 24, 2008",Signed by the Atlanta Thrashers to a four-year contract extension.,TOBY,ENSTROM,WINNIPEG,JETS
"May 31, 2007",Signed by the Atltanta Thrashers.,TOBY,ENSTROM,WINNIPEG,JETS
