Date,Injury,Firstname,Lastname,City,TeamName
"Feb 11, 2018",Missed 2 games (upper body injury).,MATT,HENDRICKS,WINNIPEG,JETS
"Feb 08, 2018","Upper body injury, injured reserve.",MATT,HENDRICKS,WINNIPEG,JETS
"Feb 05, 2018","Upper body injury, day-to-day.",MATT,HENDRICKS,WINNIPEG,JETS
"Oct 25, 2017",Missed 7 games (lower body injury).,MATT,HENDRICKS,WINNIPEG,JETS
"Oct 02, 2017","Lower body injury, injured reserve.",MATT,HENDRICKS,WINNIPEG,JETS
"Aug 26, 2017",Signed as an unrestricted free agent by the Winnipeg Jets to a one-year contract.,MATT,HENDRICKS,WINNIPEG,JETS
"Nov 19, 2016",Missed 18 games (lower body injury).,MATT,HENDRICKS,WINNIPEG,JETS
"Oct 11, 2016","Lower body injury, injured reserve.",MATT,HENDRICKS,WINNIPEG,JETS
"Mar 14, 2016",Missed 1 game (undisclosed).,MATT,HENDRICKS,WINNIPEG,JETS
"Mar 12, 2016","Undisclosed, day-to-day.",MATT,HENDRICKS,WINNIPEG,JETS
"Jan 17, 2016",Missed 3 games (suspended by nhl).,MATT,HENDRICKS,WINNIPEG,JETS
"Jan 12, 2016",Suspended by the NHL for 3 games.,MATT,HENDRICKS,WINNIPEG,JETS
"Jan 12, 2016","Fined $29,838 by the NHL.",MATT,HENDRICKS,WINNIPEG,JETS
"Nov 14, 2015",Missed 3 games (undisclosed).,MATT,HENDRICKS,WINNIPEG,JETS
"Nov 12, 2015","Undisclosed, injured reserve.",MATT,HENDRICKS,WINNIPEG,JETS
"Nov 08, 2015","Undisclosed, day-to-day.",MATT,HENDRICKS,WINNIPEG,JETS
"Nov 03, 2015",Missed 6 games (foot injury).,MATT,HENDRICKS,WINNIPEG,JETS
"Oct 19, 2015","Foot injury, injured reserve.",MATT,HENDRICKS,WINNIPEG,JETS
"Apr 02, 2015",Missed 3 games (back spasms).,MATT,HENDRICKS,WINNIPEG,JETS
"Mar 27, 2015","Back spasms, day-to-day.",MATT,HENDRICKS,WINNIPEG,JETS
"Feb 18, 2015",Missed 2 games (bruised foot).,MATT,HENDRICKS,WINNIPEG,JETS
"Feb 14, 2015","Bruised foot, day-to-day.",MATT,HENDRICKS,WINNIPEG,JETS
"Dec 27, 2014",Missed 1 game (illness).,MATT,HENDRICKS,WINNIPEG,JETS
"Dec 23, 2014","Illness, day-to-day.",MATT,HENDRICKS,WINNIPEG,JETS
"Dec 09, 2014",Missed 4 games (leg injury).,MATT,HENDRICKS,WINNIPEG,JETS
"Nov 28, 2014","Leg injury, day-to-day.",MATT,HENDRICKS,WINNIPEG,JETS
"Jan 15, 2014",Acquired from the Nashville Predators.,MATT,HENDRICKS,WINNIPEG,JETS
"Nov 10, 2013",Missed 3 games (upper body injury).,MATT,HENDRICKS,WINNIPEG,JETS
"Nov 02, 2013","Upper body injury, day-to-day.",MATT,HENDRICKS,WINNIPEG,JETS
"Jul 05, 2013",Signed as an unrestricted free agent by the Nashville Predators to a four-year contract.,MATT,HENDRICKS,WINNIPEG,JETS
"Dec 17, 2011",Missed 4 games (lower body injury).,MATT,HENDRICKS,WINNIPEG,JETS
"Dec 07, 2011","Lower body injury, day-to-day.",MATT,HENDRICKS,WINNIPEG,JETS
"Oct 08, 2011",Missed 1 game (undisclosed).,MATT,HENDRICKS,WINNIPEG,JETS
"Oct 06, 2011","Undisclosed, injured reserve.",MATT,HENDRICKS,WINNIPEG,JETS
"Feb 23, 2011",Signed by the Washington Capitals to a two-year contract extension.,MATT,HENDRICKS,WINNIPEG,JETS
"Dec 26, 2010",Missed 2 games (undisclosed).,MATT,HENDRICKS,WINNIPEG,JETS
"Dec 21, 2010","Undisclosed, day-to-day.",MATT,HENDRICKS,WINNIPEG,JETS
"Sep 27, 2010",Signed as an unrestricted free agent by the Washington Capitals to a one-year contract.,MATT,HENDRICKS,WINNIPEG,JETS
"Sep 15, 2010",Invited to training camp by the Washington Capitals.,MATT,HENDRICKS,WINNIPEG,JETS
"Mar 01, 2010",Missed 12 games (ankle injury).,MATT,HENDRICKS,WINNIPEG,JETS
"Jan 22, 2010","Ankle injury, day-to-day.",MATT,HENDRICKS,WINNIPEG,JETS
"Nov 28, 2009",Missed 6 games (groin).,MATT,HENDRICKS,WINNIPEG,JETS
"Nov 18, 2009","Groin, day-to-day.",MATT,HENDRICKS,WINNIPEG,JETS
"Nov 06, 2009",Missed 5 games (groin).,MATT,HENDRICKS,WINNIPEG,JETS
"Oct 27, 2009","Groin, sidelined indefinitely.",MATT,HENDRICKS,WINNIPEG,JETS
"Jul 06, 2009",Re-signed by the Colorado Avalanche.,MATT,HENDRICKS,WINNIPEG,JETS
"Mar 29, 2009",Assigned to Lake Erie (AHL).,MATT,HENDRICKS,WINNIPEG,JETS
"Mar 24, 2009",Recalled from Lake Erie (AHL).,MATT,HENDRICKS,WINNIPEG,JETS
"Mar 15, 2009",Assigned to Lake Erie (AHL).,MATT,HENDRICKS,WINNIPEG,JETS
"Mar 09, 2009",Recalled from Lake Erie (AHL).,MATT,HENDRICKS,WINNIPEG,JETS
"Sep 28, 2008",Assigned to Lake Erie (AHL).,MATT,HENDRICKS,WINNIPEG,JETS
"Jun 24, 2008",Acquired from the Boston Bruins.,MATT,HENDRICKS,WINNIPEG,JETS
"Sep 21, 2007",Assigned to Providence (AHL).,MATT,HENDRICKS,WINNIPEG,JETS
"Jul 09, 2007",Signed as a free agent by the Boston Bruins.,MATT,HENDRICKS,WINNIPEG,JETS
