Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Assigned to the Manitoba Moose (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Feb 26, 2018",Recalled from the Manitoba Moose (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Feb 22, 2018",Missed 6 games (concussion).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Feb 11, 2018","Concussion, injured reserve.",MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Feb 08, 2018","Concussion, sidelined indefinitely.",MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Jan 30, 2018",Recalled from the Manitoba Moose (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Jan 26, 2018",Assigned to the Manitoba Moose (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Jan 19, 2018",Recalled from the Manitoba Moose (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Jan 14, 2018",Assigned to the Manitoba Moose (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Jan 12, 2018",Recalled from the Manitoba Moose (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Sep 24, 2017",Placed on waivers by the Winnipeg Jets for the purpose of being assigned to the Manitoba Moose (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Jun 21, 2016",Signed by the Winnipeg Jets to a two-year contract extension.,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Jul 02, 2014",Re-signed as a restricted free agent by the Winnipeg Jets to a two-year contract.,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Jun 30, 2014",Winnipeg Jets tendered a qualifying offer.,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Apr 12, 2014",Assigned to the St. John's IceCaps (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Mar 30, 2014",Recalled from the St. John's IceCaps (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Mar 29, 2014",Assigned to the St. John's IceCaps (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Mar 15, 2014",Recalled from the St. John's IceCaps (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Jan 12, 2014",Re-assigned to the St. John's IceCaps (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Dec 16, 2013",Re-assigned to Ontario (ECHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Dec 14, 2013",Re-assigned to St. John's (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Oct 06, 2013",Re-assigned to Ontario (ECHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Sep 23, 2013",Assigned to St. John's (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Jul 19, 2013","Signed as an unrestricted free agent by the Winnipeg Jets to a one-year, two-way contract.",MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Jul 02, 2013",Boston Bruins did not tender a qualifying offer.,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Sep 14, 2012",Assigned to Providence (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Mar 07, 2012",Assigned to Providence (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Mar 03, 2012",Recalled from Providence (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Jan 31, 2012",Assigned to Providence (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Jan 30, 2012",Recalled from Providence (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Jan 26, 2012",Re-assigned to Reading (ECHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Sep 27, 2011",Assigned to Providence (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"May 06, 2011",Assigned to Providence (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Apr 12, 2011",Recalled from Providence (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Mar 04, 2011",Assigned to Providence (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Dec 29, 2010",Assigned to Reading (ECHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Sep 22, 2010",Assigned to Providence (AHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Mar 31, 2010",Signed by the Boston Bruins to a three-year entry-level contract.,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Sep 20, 2009",Returned to his junior team (Barrie-OHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
"Sep 22, 2008",Returned to his junior team (Barrie-OHL).,MICHAEL,HUTCHINSON,WINNIPEG,JETS
