Date,Injury,Firstname,Lastname,City,TeamName
"Sep 14, 2017",Signed by the Winnipeg Jets to a six-year contract extension.,BRYAN,LITTLE,WINNIPEG,JETS
"Nov 29, 2016",Missed 23 games (lower body injury).,BRYAN,LITTLE,WINNIPEG,JETS
"Oct 27, 2016","Lower body injury, injured reserve.",BRYAN,LITTLE,WINNIPEG,JETS
"Oct 15, 2016","Lower body injury, sidelined indefinitely.",BRYAN,LITTLE,WINNIPEG,JETS
"Apr 09, 2016",Missed the last 25 regular season games (upper body injury).,BRYAN,LITTLE,WINNIPEG,JETS
"Feb 20, 2016","Upper body injury, day-to-day.",BRYAN,LITTLE,WINNIPEG,JETS
"Mar 31, 2015",Missed 11 games (upper body injury).,BRYAN,LITTLE,WINNIPEG,JETS
"Mar 06, 2015","Undisclosed, day-to-day.",BRYAN,LITTLE,WINNIPEG,JETS
"Jul 22, 2013",Re-signed as a restricted free agent by the Winnipeg Jets to a five-year contract.,BRYAN,LITTLE,WINNIPEG,JETS
"Jul 02, 2013",Winnipeg Jets tendered a qualifying offer.,BRYAN,LITTLE,WINNIPEG,JETS
"Jan 07, 2012",Missed 8 games (foot injury).,BRYAN,LITTLE,WINNIPEG,JETS
"Dec 31, 2011","Foot injury, injured reserve.",BRYAN,LITTLE,WINNIPEG,JETS
"Dec 20, 2011","Back injury, day-to-day.",BRYAN,LITTLE,WINNIPEG,JETS
"Nov 13, 2010",Missed 6 games (facial injury).,BRYAN,LITTLE,WINNIPEG,JETS
"Nov 06, 2010","Facial injury, sidelined indefinitely.",BRYAN,LITTLE,WINNIPEG,JETS
"Oct 30, 2010","Facial injury, day-to-day.",BRYAN,LITTLE,WINNIPEG,JETS
"Aug 23, 2010",Re-signed as a restricted free agent by the Atlanta Thrashers to a multi-year contract.,BRYAN,LITTLE,WINNIPEG,JETS
"Nov 19, 2009",Missed 2 games (groin).,BRYAN,LITTLE,WINNIPEG,JETS
"Nov 15, 2009","Groin, day-to-day.",BRYAN,LITTLE,WINNIPEG,JETS
"Jan 14, 2009",Missed 3 games (bruised ribs).,BRYAN,LITTLE,WINNIPEG,JETS
"Jan 06, 2009","Rib injury, day-to-day.",BRYAN,LITTLE,WINNIPEG,JETS
"Apr 07, 2008",Assigned to Chicago (AHL).,BRYAN,LITTLE,WINNIPEG,JETS
"Feb 26, 2008",Recalled from Chicago (AHL).,BRYAN,LITTLE,WINNIPEG,JETS
"Dec 11, 2007",Assigned to Chicago (AHL).,BRYAN,LITTLE,WINNIPEG,JETS
"Apr 30, 2007",Signed by the Chicago Wolves (AHL).,BRYAN,LITTLE,WINNIPEG,JETS
"Apr 20, 2007",Signed by the Atlanta Thrashers to a entry-level contract.,BRYAN,LITTLE,WINNIPEG,JETS
"Sep 17, 2006",Returned to his junior team (Barrie-OHL).,BRYAN,LITTLE,WINNIPEG,JETS
