Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Acquired from the St. Louis Blues.,PAUL,STASTNY,WINNIPEG,JETS
"Apr 22, 2017",Missed the last 10 regular season and first 4 playoff games (lower body injury).,PAUL,STASTNY,WINNIPEG,JETS
"Mar 22, 2017","Lower body injury, sidelined indefinitely.",PAUL,STASTNY,WINNIPEG,JETS
"Feb 20, 2017",Missed 4 games (lower body injury).,PAUL,STASTNY,WINNIPEG,JETS
"Feb 14, 2017","Lower body injury, injured reserve.",PAUL,STASTNY,WINNIPEG,JETS
"Feb 10, 2017","Lower body injury, day-to-day.",PAUL,STASTNY,WINNIPEG,JETS
"Dec 27, 2016",Missed 1 game (upper body injury).,PAUL,STASTNY,WINNIPEG,JETS
"Dec 22, 2016","Upper body injury, injured reserve.",PAUL,STASTNY,WINNIPEG,JETS
"Jan 14, 2016",Missed 2 games (upper body injury).,PAUL,STASTNY,WINNIPEG,JETS
"Jan 09, 2016","Upper body injury, day-to-day.",PAUL,STASTNY,WINNIPEG,JETS
"Nov 23, 2015",Missed 16 games (broken foot).,PAUL,STASTNY,WINNIPEG,JETS
"Oct 21, 2015","Broken foot, injured reserve.",PAUL,STASTNY,WINNIPEG,JETS
"Oct 17, 2015","Lower body injury, day-to-day.",PAUL,STASTNY,WINNIPEG,JETS
"Nov 06, 2014",Missed 8 games (sprained left shoulder).,PAUL,STASTNY,WINNIPEG,JETS
"Oct 24, 2014","Sprained left shoulder, injured reserve.",PAUL,STASTNY,WINNIPEG,JETS
"Oct 23, 2014","Sprained left shoulder, day-to-day.",PAUL,STASTNY,WINNIPEG,JETS
"Oct 21, 2014","Sprained left shoulder, injured reserve.",PAUL,STASTNY,WINNIPEG,JETS
"Oct 19, 2014","Sprained left shoulder, sidelined indefinitely.",PAUL,STASTNY,WINNIPEG,JETS
"Jul 01, 2014",Signed as an unrestricted free agent by the St. Louis Blues to a four-year contract.,PAUL,STASTNY,WINNIPEG,JETS
"Mar 21, 2014",Missed 1 game (back injury).,PAUL,STASTNY,WINNIPEG,JETS
"Mar 19, 2014","Back injury, day-to-day.",PAUL,STASTNY,WINNIPEG,JETS
"Mar 18, 2014",Missed 4 games (back injury).,PAUL,STASTNY,WINNIPEG,JETS
"Mar 10, 2014","Back injury, day-to-day.",PAUL,STASTNY,WINNIPEG,JETS
"Feb 04, 2014",Missed 2 games (ankle injury).,PAUL,STASTNY,WINNIPEG,JETS
"Feb 01, 2014","Ankle injury, day-to-day.",PAUL,STASTNY,WINNIPEG,JETS
