Date,Injury,Firstname,Lastname,City,TeamName
"Mar 01, 2015",Missed 2 games (lower body injury).,BLAKE,WHEELER,WINNIPEG,JETS
"Feb 25, 2015","Lower body injury, injured reserve.",BLAKE,WHEELER,WINNIPEG,JETS
"Feb 24, 2015","Lower body injury, day-to-day.",BLAKE,WHEELER,WINNIPEG,JETS
"Jul 26, 2013",Re-signed as a restricted free agent by the Winnipeg Jets to a six-year contract.,BLAKE,WHEELER,WINNIPEG,JETS
"Jul 02, 2013",Winnipeg Jets tendered a qualifying offer.,BLAKE,WHEELER,WINNIPEG,JETS
"Oct 28, 2012",Signed with EHC Munchen (Germany).,BLAKE,WHEELER,WINNIPEG,JETS
"Jan 19, 2012",Missed 2 games (throat).,BLAKE,WHEELER,WINNIPEG,JETS
"Jan 16, 2012","Throat, day-to-day.",BLAKE,WHEELER,WINNIPEG,JETS
"Jul 18, 2011",Re-signed as a restricted free agent by the Winnipeg Jets to a two-year contract.,BLAKE,WHEELER,WINNIPEG,JETS
"Feb 18, 2011",Acquired from the Boston Bruins.,BLAKE,WHEELER,WINNIPEG,JETS
"Jul 30, 2010",Re-signed as a restricted free agent by the Boston Bruins to a one-year contract.,BLAKE,WHEELER,WINNIPEG,JETS
"Jul 05, 2010",Filed for salary arbitration.,BLAKE,WHEELER,WINNIPEG,JETS
"Jul 01, 2008",Signed by the Boston Bruins to an entry-level contract.,BLAKE,WHEELER,WINNIPEG,JETS
