Date,Injury,Firstname,Lastname,City,TeamName
"Jan 29, 2018",Recalled from the Ontario Reign (AHL).,MICHAEL,AMADIO,LOS,ANGELESKINGS
"Jan 25, 2018",Assigned to the Ontario Reign (AHL).,MICHAEL,AMADIO,LOS,ANGELESKINGS
"Jan 16, 2018",Recalled from the Ontario Reign (AHL).,MICHAEL,AMADIO,LOS,ANGELESKINGS
"Nov 16, 2017",Assigned to the Ontario Reign (AHL).,MICHAEL,AMADIO,LOS,ANGELESKINGS
"Oct 26, 2017",Recalled from the Ontario Reign (AHL).,MICHAEL,AMADIO,LOS,ANGELESKINGS
"Sep 27, 2017",Assigned to the Ontario Reign (AHL).,MICHAEL,AMADIO,LOS,ANGELESKINGS
"Oct 03, 2016",Assigned to the Ontario Reign (AHL).,MICHAEL,AMADIO,LOS,ANGELESKINGS
"Mar 13, 2016",Signed by the Los Angeles Kings to a three-year entry-level contract.,MICHAEL,AMADIO,LOS,ANGELESKINGS
"Sep 22, 2015",Returned to his junior team (North Bay Battalion-OHL).,MICHAEL,AMADIO,LOS,ANGELESKINGS
"Sep 23, 2014",Returned to his junior team (North Bay Battalion-OHL).,MICHAEL,AMADIO,LOS,ANGELESKINGS
