Date,Injury,Firstname,Lastname,City,TeamName
"Feb 22, 2018",Recalled from the Ontario Reign (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Feb 01, 2018",Assigned to the Ontario Reign (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Jan 29, 2018",Recalled from the Ontario Reign (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Dec 24, 2017",Assigned to the Ontario Reign (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Dec 23, 2017",Recalled from the Ontario Reign (AHL) on an emergency basis.,JACK,CAMPBELL,LOS,ANGELESKINGS
"Nov 22, 2017",Signed by the Los Angeles Kings to a two-year contract extension.,JACK,CAMPBELL,LOS,ANGELESKINGS
"Oct 01, 2017",Placed on waivers by the Los Angeles Kings for the purpose of being assigned to the Ontario Reign (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Nov 18, 2016",Assigned to the Ontario Reign (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Nov 12, 2016",Recalled from the Ontario Reign (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Nov 07, 2016",Assigned to the Ontario Reign (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Oct 22, 2016",Recalled from the Ontario Reign (AHL) on an emergency basis.,JACK,CAMPBELL,LOS,ANGELESKINGS
"Oct 03, 2016",Placed on waivers by the Los Angeles Kings for the purpose of being assigned to the Ontario Reign (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Jul 11, 2016",Re-signed as a restricted free agent by the Los Angeles Kings to a two-year contract.,JACK,CAMPBELL,LOS,ANGELESKINGS
"Jun 25, 2016",Acquired from the Dallas Stars.,JACK,CAMPBELL,LOS,ANGELESKINGS
"May 01, 2016",Recalled from the Texas Stars (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Feb 24, 2016",Re-assigned to the Texas Stars (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Dec 27, 2015",Re-assigned to the Idaho Steelheads (ECHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Dec 02, 2015",Assigned to the Texas Stars (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Nov 26, 2015",Recalled from the Texas Stars (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Nov 07, 2015",Missed 14 games (hand injury).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Nov 07, 2015",Assigned to the Texas Stars (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Oct 05, 2015","Hand injury, injured reserve.",JACK,CAMPBELL,LOS,ANGELESKINGS
"Jun 17, 2015",Re-signed by the Dallas Stars to a one-year contract.,JACK,CAMPBELL,LOS,ANGELESKINGS
"Feb 26, 2015",Re-assigned to the Texas Stars (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Feb 09, 2015",Re-assigned to the Idaho Steelheads (ECHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Sep 28, 2014",Assigned to the Texas Stars (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Oct 21, 2013",Assigned to Texas (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Oct 12, 2013",Recalled from Texas (AHL) on an emergency basis.,JACK,CAMPBELL,LOS,ANGELESKINGS
"Sep 23, 2013",Assigned to Texas (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Mar 23, 2013",Assigned to Texas (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Mar 19, 2013",Recalled from Texas (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Sep 14, 2012",Assigned to Texas (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Mar 20, 2012",Re-assigned to Texas (AHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Sep 23, 2011",Returned to his junior team (Windsor-OHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
"Nov 09, 2010",Signed by the Dallas Stars to a three-year entry-level contract.,JACK,CAMPBELL,LOS,ANGELESKINGS
"Sep 22, 2010",Returned to his junior team (Windsor-OHL).,JACK,CAMPBELL,LOS,ANGELESKINGS
