Date,Injury,Firstname,Lastname,City,TeamName
"Feb 24, 2018",Missed 55 games (ankle injury).,JEFF,CARTER,LOS,ANGELESKINGS
"Oct 19, 2017","Ankle injury, sidelined indefinitely.",JEFF,CARTER,LOS,ANGELESKINGS
"Jan 07, 2016",Missed 5 games (upper body injury).,JEFF,CARTER,LOS,ANGELESKINGS
"Dec 28, 2015","Upper body injury, day-to-day.",JEFF,CARTER,LOS,ANGELESKINGS
"Nov 25, 2013",Missed 10 games (lower body injury).,JEFF,CARTER,LOS,ANGELESKINGS
"Nov 01, 2013","Lower body injury, injured reserve.",JEFF,CARTER,LOS,ANGELESKINGS
"Apr 11, 2012",Missed the last 5 regular season games (ankle injury).,JEFF,CARTER,LOS,ANGELESKINGS
"Mar 30, 2012","Ankle injury, day-to-day.",JEFF,CARTER,LOS,ANGELESKINGS
"Feb 23, 2012",Acquired from the Columbus Blue Jackets.,JEFF,CARTER,LOS,ANGELESKINGS
"Feb 02, 2012",Missed 10 games (separated right shoulder).,JEFF,CARTER,LOS,ANGELESKINGS
"Jan 13, 2012","Separated right shoulder, injured reserve.",JEFF,CARTER,LOS,ANGELESKINGS
"Jan 10, 2012","Separated right shoulder, sidelined indefinitely.",JEFF,CARTER,LOS,ANGELESKINGS
"Dec 06, 2011",Missed 1 game (lower body injury).,JEFF,CARTER,LOS,ANGELESKINGS
"Dec 02, 2011","Lower body injury, day-to-day.",JEFF,CARTER,LOS,ANGELESKINGS
"Nov 12, 2011",Missed 10 games (fractured right foot).,JEFF,CARTER,LOS,ANGELESKINGS
"Oct 18, 2011","Fractured right foot, injured reserve.",JEFF,CARTER,LOS,ANGELESKINGS
"Jun 23, 2011",Acquired from the Philadelphia Flyers.,JEFF,CARTER,LOS,ANGELESKINGS
"May 04, 2011",Missed the last 5 playoff games (right knee injury).,JEFF,CARTER,LOS,ANGELESKINGS
"Apr 22, 2011","Right knee injury, day-to-day.",JEFF,CARTER,LOS,ANGELESKINGS
"Mar 08, 2011",Missed 1 game (flu).,JEFF,CARTER,LOS,ANGELESKINGS
"Mar 06, 2011","Flu, day-to-day.",JEFF,CARTER,LOS,ANGELESKINGS
"Mar 05, 2011",Missed 1 game (flu).,JEFF,CARTER,LOS,ANGELESKINGS
"Mar 03, 2011","Flu, day-to-day.",JEFF,CARTER,LOS,ANGELESKINGS
"Nov 13, 2010",Signed by the Philadelphia Flyers to an 11-year contract extension.,JEFF,CARTER,LOS,ANGELESKINGS
"May 22, 2010",Missed the last 11 playoff games (right foot surgery).,JEFF,CARTER,LOS,ANGELESKINGS
"Apr 21, 2010","Right foot surgery, sidelined indefinitely.",JEFF,CARTER,LOS,ANGELESKINGS
"Apr 08, 2010",Missed 8 games (left foot injury).,JEFF,CARTER,LOS,ANGELESKINGS
"Mar 22, 2010","Left foot injury, mid-April.",JEFF,CARTER,LOS,ANGELESKINGS
"Dec 19, 2006",Missed 20 games (left ankle injury).,JEFF,CARTER,LOS,ANGELESKINGS
"Nov 03, 2006","Left ankle injury, late December.",JEFF,CARTER,LOS,ANGELESKINGS
"Dec 19, 2005",Missed 1 game (ear injury).,JEFF,CARTER,LOS,ANGELESKINGS
"Dec 16, 2005","Ear injury, day-to-day.",JEFF,CARTER,LOS,ANGELESKINGS
"Dec 15, 2005","Ear injury, left Thursday's game.",JEFF,CARTER,LOS,ANGELESKINGS
"Jul 27, 2005","Signed by the Philadelphia Flyers to a three-year, entry-level contract.",JEFF,CARTER,LOS,ANGELESKINGS
"Apr 14, 2005",Signed by the Philadelphia Phantoms (AHL).,JEFF,CARTER,LOS,ANGELESKINGS
"Apr 21, 2004",Signed by the Philadelphia Phantoms (AHL).,JEFF,CARTER,LOS,ANGELESKINGS
