Date,Injury,Firstname,Lastname,City,TeamName
"Dec 28, 2017",Missed 3 games (undisclosed).,KYLE,CLIFFORD,LOS,ANGELESKINGS
"Dec 23, 2017","Undisclosed, injured reserve.",KYLE,CLIFFORD,LOS,ANGELESKINGS
"Dec 18, 2017","Undisclosed, day-to-day.",KYLE,CLIFFORD,LOS,ANGELESKINGS
"Dec 12, 2017",Missed 28 games (upper body injury).,KYLE,CLIFFORD,LOS,ANGELESKINGS
"Oct 12, 2017","Upper body injury, injured reserve.",KYLE,CLIFFORD,LOS,ANGELESKINGS
"Dec 28, 2016",Missed 3 games (upper body injury).,KYLE,CLIFFORD,LOS,ANGELESKINGS
"Dec 20, 2016","Upper body injury, day-to-day.",KYLE,CLIFFORD,LOS,ANGELESKINGS
"Feb 04, 2016",Missed 24 games (upper body injury).,KYLE,CLIFFORD,LOS,ANGELESKINGS
"Jan 31, 2016",Recalled from his conditioning assignment with the Ontario Reign (AHL).,KYLE,CLIFFORD,LOS,ANGELESKINGS
"Jan 28, 2016",Assigned to the Ontario Reign (AHL) for conditioning purposes.,KYLE,CLIFFORD,LOS,ANGELESKINGS
"Dec 14, 2015","Upper body injury, injured reserve.",KYLE,CLIFFORD,LOS,ANGELESKINGS
"Dec 08, 2015","Upper body injury, day-to-day.",KYLE,CLIFFORD,LOS,ANGELESKINGS
"Feb 25, 2015",Signed by the Los Angeles Kings to a five-year contract extension.,KYLE,CLIFFORD,LOS,ANGELESKINGS
"Dec 11, 2014",Missed 1 game (flu).,KYLE,CLIFFORD,LOS,ANGELESKINGS
"Dec 09, 2014","Flu, day-to-day.",KYLE,CLIFFORD,LOS,ANGELESKINGS
"Nov 23, 2013",Missed 6 games (upper body injury).,KYLE,CLIFFORD,LOS,ANGELESKINGS
"Nov 13, 2013","Upper body injury, injured reserve.",KYLE,CLIFFORD,LOS,ANGELESKINGS
"Nov 12, 2013","Upper body injury, day-to-day.",KYLE,CLIFFORD,LOS,ANGELESKINGS
"Oct 28, 2013","Fined $2,756.41 by the NHL.",KYLE,CLIFFORD,LOS,ANGELESKINGS
"Aug 02, 2013",Re-signed as a restricted free agent by the Los Angeles Kings to a two-year contract.,KYLE,CLIFFORD,LOS,ANGELESKINGS
"Jul 02, 2013",Los Angeles Kings tendered a qualifying offer.,KYLE,CLIFFORD,LOS,ANGELESKINGS
"May 21, 2013",Missed the last 4 playoff games (undisclosed).,KYLE,CLIFFORD,LOS,ANGELESKINGS
"May 10, 2013","Undisclosed, day-to-day.",KYLE,CLIFFORD,LOS,ANGELESKINGS
"Nov 20, 2012",Signed by the Ontario Reign (ECHL).,KYLE,CLIFFORD,LOS,ANGELESKINGS
"May 15, 2012",Missed the last 9 playoff games (concussion).,KYLE,CLIFFORD,LOS,ANGELESKINGS
"Apr 13, 2012","Concussion, day-to-day.",KYLE,CLIFFORD,LOS,ANGELESKINGS
"Mar 24, 2011",Missed 2 games (head injury).,KYLE,CLIFFORD,LOS,ANGELESKINGS
"Mar 19, 2011","Head injury, day-to-day.",KYLE,CLIFFORD,LOS,ANGELESKINGS
"Sep 24, 2009",Returned to his junior team (Barrie-OHL).,KYLE,CLIFFORD,LOS,ANGELESKINGS
"Sep 22, 2009",Signed by the Los Angeles Kings to a three-year entry level contract.,KYLE,CLIFFORD,LOS,ANGELESKINGS
