Date,Injury,Firstname,Lastname,City,TeamName
"Jan 06, 2018",Missed 6 games (upper body injury).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Dec 19, 2017","Upper body injury, injured reserve.",CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Jul 01, 2017",Signed as an unrestricted free agent by the Los Angeles Kings to a one-year contract.,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Jun 26, 2017",Minnesota Wild did not tender a qualifying offer.,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Mar 25, 2017",Missed 10 games (upper body injury).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Mar 06, 2017","Upper body injury, sidelined indefinitely.",CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Dec 13, 2016",Missed 7 games (left knee injury).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Nov 26, 2016","Left knee injury, sidelined indefinitely.",CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Apr 04, 2016",Recalled from the Iowa Wild (AHL).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Feb 29, 2016",Assigned to the Iowa Wild (AHL).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Feb 01, 2016",Recalled from the Iowa Wild (AHL).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Dec 02, 2015",Assigned to the Iowa Wild (AHL).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Nov 30, 2015",Recalled from the Iowa Wild (AHL).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Nov 28, 2015",Assigned to the Iowa Wild (AHL).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Nov 07, 2015",Missed 4 games (lower body injury).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Oct 27, 2015","Lower body injury, day-to-day.",CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Jul 11, 2015",Re-signed as a restricted free agent by the Minnesota Wild to a two-year contract.,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Mar 30, 2015",Recalled from the Iowa Wild (AHL).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Mar 28, 2015",Assigned to the Iowa Wild (AHL).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Feb 20, 2015",Recalled from the Iowa Wild (AHL).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Feb 12, 2015",Assigned to the Iowa Wild (AHL).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Dec 02, 2014",Recalled from the Iowa Wild (AHL).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Nov 14, 2014",Assigned to the Iowa Wild (AHL).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Nov 01, 2014",Missed 5 games (illness).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Oct 28, 2014","Illness, injured reserve.",CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Oct 23, 2014","Flu, day-to-day.",CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Apr 17, 2014",Assigned to the Iowa Wild (AHL).,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
"Mar 31, 2014",Signed by the Minnesota Wild to a two-year entry-level contract.,CHRISTIAN,FOLIN,LOS,ANGELESKINGS
