Date,Injury,Firstname,Lastname,City,TeamName
"Feb 01, 2018",Missed 2 games (upper body injury).,DEREK,FORBORT,LOS,ANGELESKINGS
"Jan 24, 2018","Upper body injury, day-to-day.",DEREK,FORBORT,LOS,ANGELESKINGS
"Oct 19, 2017",Signed by the Los Angeles Kings to a two-year contract extension.,DEREK,FORBORT,LOS,ANGELESKINGS
"Jul 09, 2016",Re-signed as a restricted free agent by the Los Angeles Kings to a two-year contract.,DEREK,FORBORT,LOS,ANGELESKINGS
"Jan 06, 2016",Assigned to the Ontario Reign (AHL).,DEREK,FORBORT,LOS,ANGELESKINGS
"Nov 01, 2015",Recalled from the Ontario Reign (AHL).,DEREK,FORBORT,LOS,ANGELESKINGS
"Oct 29, 2015",Assigned to the Ontario Reign (AHL).,DEREK,FORBORT,LOS,ANGELESKINGS
"Oct 29, 2015",Missed 3 games (illness).,DEREK,FORBORT,LOS,ANGELESKINGS
"Oct 23, 2015","Illness, day-to-day.",DEREK,FORBORT,LOS,ANGELESKINGS
"Feb 27, 2015",Assigned to the Manchester Monarchs (AHL).,DEREK,FORBORT,LOS,ANGELESKINGS
"Feb 11, 2015",Recalled from the Manchester Monarchs (AHL).,DEREK,FORBORT,LOS,ANGELESKINGS
"Sep 28, 2014",Assigned to the Manchester Monarchs (AHL).,DEREK,FORBORT,LOS,ANGELESKINGS
"May 16, 2014",Assigned to the Manchester Monarchs (AHL).,DEREK,FORBORT,LOS,ANGELESKINGS
"May 07, 2014",Recalled from the Manchester Monarchs (AHL).,DEREK,FORBORT,LOS,ANGELESKINGS
"Sep 26, 2013",Loaned to Manchester (AHL).,DEREK,FORBORT,LOS,ANGELESKINGS
"Apr 06, 2013",Re-assigned to Manchester (AHL).,DEREK,FORBORT,LOS,ANGELESKINGS
"Apr 05, 2013",Signed by the Los Angeles Kings to a three-year entry-level contract.,DEREK,FORBORT,LOS,ANGELESKINGS
