Date,Injury,Firstname,Lastname,City,TeamName
"Jan 12, 2018",Recalled from the Ontario Reign (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Jan 07, 2018",Assigned to the Ontario Reign (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Dec 27, 2017",Recalled from the Ontario Reign (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Dec 24, 2017",Assigned to the Ontario Reign (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Dec 20, 2017",Recalled from the Ontario Reign (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Sep 27, 2017",Assigned to the Ontario Reign (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Jul 14, 2017",Re-signed as a restricted free agent by the Los Angeles Kings to a one-year two-way contract.,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Jul 05, 2017",Filed for salary arbitration.,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Jun 26, 2017",Los Angeles Kings tendered a qualifying offer.,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Nov 03, 2016",Recalled from the Ontario Reign (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Oct 11, 2016",Assigned to the Ontario Reign (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Apr 23, 2016",Assigned to the Ontario Reign (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Apr 15, 2016",Recalled from the Ontario Reign (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Apr 12, 2016",Assigned to the Ontario Reign (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Apr 03, 2016",Recalled from the Ontario Reign (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Feb 26, 2016",Assigned to the Ontario Reign (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Feb 11, 2016",Recalled from the Ontario Reign (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Sep 26, 2015",Assigned to the Ontario Reign (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Jun 16, 2015",Signed by the Los Angeles Kings to a two-year entry-level contract.,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Sep 26, 2014",Released from training camp by the Los Angeles Kings.,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Sep 26, 2014",Re-assigned to the Manchester Monarchs (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Sep 15, 2014",Invited to training camp by the Los Angeles Kings.,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Aug 04, 2014",Signed with the Manchester Monarchs (AHL).,KEVIN,GRAVEL,LOS,ANGELESKINGS
"Apr 04, 2014",Signed with the Manchester Monarchs (AHL) to an amateur try-out contract.,KEVIN,GRAVEL,LOS,ANGELESKINGS
