Date,Injury,Firstname,Lastname,City,TeamName
"Jan 18, 2017",Missed 1 game (illness).,ANZE,KOPITAR,LOS,ANGELESKINGS
"Jan 16, 2017","Illness, day-to-day.",ANZE,KOPITAR,LOS,ANGELESKINGS
"Nov 23, 2016",Missed 5 games (upper body injury).,ANZE,KOPITAR,LOS,ANGELESKINGS
"Nov 12, 2016","Upper body injury, day-to-day.",ANZE,KOPITAR,LOS,ANGELESKINGS
"Feb 23, 2016",Missed 1 game (lower body injury).,ANZE,KOPITAR,LOS,ANGELESKINGS
"Feb 19, 2016","Lower body injury, day-to-day.",ANZE,KOPITAR,LOS,ANGELESKINGS
"Jan 16, 2016",Signed by the Los Angeles Kings to an eight-year contract extension.,ANZE,KOPITAR,LOS,ANGELESKINGS
"Nov 02, 2014",Missed 3 games (upper body injury).,ANZE,KOPITAR,LOS,ANGELESKINGS
"Oct 28, 2014","Upper body injury, day-to-day.",ANZE,KOPITAR,LOS,ANGELESKINGS
"Jan 22, 2013",Missed 1 game (sprained knee).,ANZE,KOPITAR,LOS,ANGELESKINGS
"Jan 18, 2013","Sprained knee, injured reserve.",ANZE,KOPITAR,LOS,ANGELESKINGS
"Sep 19, 2012",Signed with Mora IK (Sweden).,ANZE,KOPITAR,LOS,ANGELESKINGS
"Apr 25, 2011",Missed the last 7 games of the regular season and 6 playoff games (right ankle injury).,ANZE,KOPITAR,LOS,ANGELESKINGS
"Mar 29, 2011","Right ankle injury, sidelined indefinitely.",ANZE,KOPITAR,LOS,ANGELESKINGS
"Oct 11, 2008",Signed by the Los Angeles Kings to a seven-year contract extension.,ANZE,KOPITAR,LOS,ANGELESKINGS
"Mar 21, 2007",Missed 10 games (upper body injury).,ANZE,KOPITAR,LOS,ANGELESKINGS
"Mar 01, 2007","Upper body injury, day-to-day.",ANZE,KOPITAR,LOS,ANGELESKINGS
"Sep 21, 2005",Assigned to Sodertalje SK (Sweden).,ANZE,KOPITAR,LOS,ANGELESKINGS
"Sep 06, 2005",Signed by the Los Angeles Kings to a multi-year entry-level contract.,ANZE,KOPITAR,LOS,ANGELESKINGS
