Date,Injury,Firstname,Lastname,City,TeamName
"Feb 24, 2018",Recalled from the Ontario Reign (AHL).,PAUL,LADUE,LOS,ANGELESKINGS
"Feb 22, 2018",Assigned to the Ontario Reign (AHL).,PAUL,LADUE,LOS,ANGELESKINGS
"Jan 29, 2018",Recalled from the Ontario Reign (AHL).,PAUL,LADUE,LOS,ANGELESKINGS
"Jan 25, 2018",Assigned to the Ontario Reign (AHL).,PAUL,LADUE,LOS,ANGELESKINGS
"Jan 16, 2018",Recalled from the Ontario Reign (AHL).,PAUL,LADUE,LOS,ANGELESKINGS
"Oct 14, 2017",Assigned to the Ontario Reign (AHL).,PAUL,LADUE,LOS,ANGELESKINGS
"Oct 05, 2017",Recalled from the Ontario Reign (AHL).,PAUL,LADUE,LOS,ANGELESKINGS
"Oct 01, 2017",Assigned to the Ontario Reign (AHL).,PAUL,LADUE,LOS,ANGELESKINGS
"Jul 14, 2017",Re-signed as a restricted free agent by the Los Angeles Kings to a one-year two-way contract.,PAUL,LADUE,LOS,ANGELESKINGS
"Jun 26, 2017",Los Angeles Kings tendered a qualifying offer.,PAUL,LADUE,LOS,ANGELESKINGS
"Apr 10, 2017",Assigned to the Ontario Reign (AHL).,PAUL,LADUE,LOS,ANGELESKINGS
"Feb 28, 2017",Missed 4 games (upper body injury).,PAUL,LADUE,LOS,ANGELESKINGS
"Feb 21, 2017","Upper body injury, day-to-day.",PAUL,LADUE,LOS,ANGELESKINGS
"Feb 15, 2017",Recalled from the Ontario Reign (AHL).,PAUL,LADUE,LOS,ANGELESKINGS
"Feb 11, 2017",Assigned to the Ontario Reign (AHL).,PAUL,LADUE,LOS,ANGELESKINGS
"Feb 01, 2017",Recalled from the Ontario Reign (AHL).,PAUL,LADUE,LOS,ANGELESKINGS
"Oct 11, 2016",Assigned to the Ontario Reign (AHL).,PAUL,LADUE,LOS,ANGELESKINGS
"Apr 29, 2016",Signed by the Los Angeles Kings to a one-year entry-level contract.,PAUL,LADUE,LOS,ANGELESKINGS
