Date,Injury,Firstname,Lastname,City,TeamName
"Feb 09, 2018",Missed 2 games (lower body injury).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Feb 03, 2018","Lower body injury, day-to-day.",ALEC,MARTINEZ,LOS,ANGELESKINGS
"Oct 14, 2017",Missed 3 games (lower body injury).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Oct 05, 2017","Lower body injury, injured reserve.",ALEC,MARTINEZ,LOS,ANGELESKINGS
"Apr 22, 2016",Missed the last 4 playoff games (undisclosed).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Apr 16, 2016","Undisclosed, day-to-day.",ALEC,MARTINEZ,LOS,ANGELESKINGS
"Apr 14, 2016",Missed the last 4 regular season games (undisclosed).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Apr 04, 2016","Undisclosed, day-to-day.",ALEC,MARTINEZ,LOS,ANGELESKINGS
"Mar 20, 2015",Missed 18 games (concussion).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Feb 26, 2015","Concussion, injured reserve.",ALEC,MARTINEZ,LOS,ANGELESKINGS
"Feb 09, 2015","Concussion, day-to-day.",ALEC,MARTINEZ,LOS,ANGELESKINGS
"Dec 03, 2014",Signed by the Los Angeles Kings to a six-year contract extension.,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Dec 02, 2014",Missed 7 games (finger surgery).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Nov 14, 2014","Finger surgery, sidelined indefinitely.",ALEC,MARTINEZ,LOS,ANGELESKINGS
"Feb 27, 2014",Missed 7 games (elbow injury).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Jan 27, 2014","Elbow injury, sidelined indefinitely.",ALEC,MARTINEZ,LOS,ANGELESKINGS
"Jul 15, 2013",Re-signed as a restricted free agent by the Los Angeles Kings to a two-year contract.,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Jul 02, 2013",Los Angeles Kings tendered a qualifying offer.,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Mar 02, 2013",Missed 7 games (upper body injury).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Feb 13, 2013","Upper body injury, injured reserve.",ALEC,MARTINEZ,LOS,ANGELESKINGS
"Dec 31, 2012",Signed by the Allen Americans (CHL).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Oct 05, 2012",Signed with TPS Turku (Finland).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Dec 08, 2011",Missed 10 games (upper body injury).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Nov 16, 2011","Upper body injury, injured reserve.",ALEC,MARTINEZ,LOS,ANGELESKINGS
"Jul 08, 2011",Re-signed as a restricted free agent by the Los Angeles Kings to a two-year contract.,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Nov 23, 2010",Recalled from Manchester (AHL).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Sep 27, 2010",Assigned to Manchester (AHL).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Jan 20, 2010",Assigned to Manchester (AHL).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Jan 10, 2010",Recalled from Manchester (AHL).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Jan 09, 2010",Assigned to Manchester (AHL).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Jan 06, 2010",Recalled from Manchester (AHL).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Dec 18, 2009",Assigned to Manchester (AHL).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Dec 16, 2009",Recalled from Manchester (AHL).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Nov 19, 2009",Missed 22 games (ankle injury).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Nov 19, 2009",Assigned to Manchester (AHL).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Oct 29, 2009","Ankle injury, sidelined indefinitely.",ALEC,MARTINEZ,LOS,ANGELESKINGS
"Oct 06, 2009","Ankle injury, day-to-day.",ALEC,MARTINEZ,LOS,ANGELESKINGS
"Oct 06, 2008",Assigned to Manchester (AHL).,ALEC,MARTINEZ,LOS,ANGELESKINGS
"Apr 29, 2008",Signed by the Los Angeles Kings to a three-year entry level contract.,ALEC,MARTINEZ,LOS,ANGELESKINGS
