Date,Injury,Firstname,Lastname,City,TeamName
"Jan 17, 2018",Missed 3 games (undisclosed).,JAKE,MUZZIN,LOS,ANGELESKINGS
"Jan 06, 2018","Undisclosed, injured reserve.",JAKE,MUZZIN,LOS,ANGELESKINGS
"Mar 10, 2017","Fined $2,000 by the NHL.",JAKE,MUZZIN,LOS,ANGELESKINGS
"Oct 22, 2014",Missed 6 games (upper body injury).,JAKE,MUZZIN,LOS,ANGELESKINGS
"Oct 15, 2014",Signed by the Los Angeles Kings to a five-year contract extension.,JAKE,MUZZIN,LOS,ANGELESKINGS
"Oct 08, 2014","Upper body injury, day-to-day.",JAKE,MUZZIN,LOS,ANGELESKINGS
"Jul 12, 2013",Re-signed as a restricted free agent by the Los Angeles Kings to a two-year contract.,JAKE,MUZZIN,LOS,ANGELESKINGS
"Jul 02, 2013",Los Angeles Kings tendered a qualifying offer.,JAKE,MUZZIN,LOS,ANGELESKINGS
"Jun 04, 2013",Missed the last playoff game (undisclosed).,JAKE,MUZZIN,LOS,ANGELESKINGS
"Jun 02, 2013","Undisclosed, day-to-day.",JAKE,MUZZIN,LOS,ANGELESKINGS
"Jan 14, 2013",Recalled from Manchester (AHL).,JAKE,MUZZIN,LOS,ANGELESKINGS
"Jul 17, 2012",Re-signed as a restricted free agent by the Los Angeles Kings to a one-year contract.,JAKE,MUZZIN,LOS,ANGELESKINGS
"Jun 20, 2012",Los Angeles Kings tendered a qualifying offer.,JAKE,MUZZIN,LOS,ANGELESKINGS
"May 03, 2012",Recalled from Manchester (AHL).,JAKE,MUZZIN,LOS,ANGELESKINGS
"Oct 06, 2011",Loaned to Manchester (AHL).,JAKE,MUZZIN,LOS,ANGELESKINGS
"Oct 05, 2011","Undisclosed, injured reserve.",JAKE,MUZZIN,LOS,ANGELESKINGS
"Nov 23, 2010",Assigned to Manchester (AHL).,JAKE,MUZZIN,LOS,ANGELESKINGS
"Nov 10, 2010",Recalled from Manchester (AHL).,JAKE,MUZZIN,LOS,ANGELESKINGS
"Nov 03, 2010",Assigned to Manchester (AHL).,JAKE,MUZZIN,LOS,ANGELESKINGS
"Oct 27, 2010",Recalled from Manchester (AHL).,JAKE,MUZZIN,LOS,ANGELESKINGS
"Oct 23, 2010",Assigned to Manchester (AHL).,JAKE,MUZZIN,LOS,ANGELESKINGS
"Jan 04, 2010",Signed by the Los Angeles Kings to a three-year entry level contract.,JAKE,MUZZIN,LOS,ANGELESKINGS
"Sep 16, 2009",Released by the Nashville Predators.,JAKE,MUZZIN,LOS,ANGELESKINGS
"Sep 12, 2009",Invited to training camp by the Nashville Predators.,JAKE,MUZZIN,LOS,ANGELESKINGS
"Sep 16, 2008",Returned to his junior team (Sault Ste. Marie-OHL).,JAKE,MUZZIN,LOS,ANGELESKINGS
"Sep 11, 2007",Returned to his junior team (Sault Ste. Marie-OHL).,JAKE,MUZZIN,LOS,ANGELESKINGS
