Date,Injury,Firstname,Lastname,City,TeamName
"Feb 01, 2018",Missed 1 game (suspended by nhl).,JONATHAN,QUICK,LOS,ANGELESKINGS
"Jan 30, 2018",Suspended by the NHL for 1 game.,JONATHAN,QUICK,LOS,ANGELESKINGS
"Jan 29, 2018","Undisclosed, injured reserve.",JONATHAN,QUICK,LOS,ANGELESKINGS
"Feb 25, 2017",Missed 59 games (lower body injury).,JONATHAN,QUICK,LOS,ANGELESKINGS
"Oct 13, 2016","Lower body injury, injured reserve.",JONATHAN,QUICK,LOS,ANGELESKINGS
"Feb 16, 2016",Missed 3 games (undisclosed).,JONATHAN,QUICK,LOS,ANGELESKINGS
"Feb 11, 2016","Undisclosed, day-to-day.",JONATHAN,QUICK,LOS,ANGELESKINGS
"Jan 04, 2014",Missed 24 games (groin).,JONATHAN,QUICK,LOS,ANGELESKINGS
"Jan 01, 2014",Loaned to the Manchester Monarchs (AHL) for conditioning.,JONATHAN,QUICK,LOS,ANGELESKINGS
"Nov 25, 2013","Groin, injured reserve.",JONATHAN,QUICK,LOS,ANGELESKINGS
"Nov 13, 2013","Groin, day-to-day.",JONATHAN,QUICK,LOS,ANGELESKINGS
"Jul 01, 2012",Signed by the Los Angeles Kings to a 10-year contract extension.,JONATHAN,QUICK,LOS,ANGELESKINGS
"Mar 14, 2010",Missed 1 game (personal reasons).,JONATHAN,QUICK,LOS,ANGELESKINGS
"Mar 11, 2010","Personal reasons, day-to-day.",JONATHAN,QUICK,LOS,ANGELESKINGS
"Oct 23, 2009",Signed by the Los Angeles Kings to a three-year contract extension.,JONATHAN,QUICK,LOS,ANGELESKINGS
"Dec 16, 2008",Recalled from Manchester (AHL).,JONATHAN,QUICK,LOS,ANGELESKINGS
"Oct 06, 2008",Assigned to Manchester (AHL).,JONATHAN,QUICK,LOS,ANGELESKINGS
"Feb 27, 2008",Re-assigned to Manchester (AHL).,JONATHAN,QUICK,LOS,ANGELESKINGS
"Dec 21, 2007",Re-assigned to Reading (ECHL).,JONATHAN,QUICK,LOS,ANGELESKINGS
"Dec 17, 2007",Assigned to Manchester (AHL).,JONATHAN,QUICK,LOS,ANGELESKINGS
"Dec 02, 2007",Recalled from Manchester (AHL).,JONATHAN,QUICK,LOS,ANGELESKINGS
"Sep 16, 2007",Assigned to Manchester (AHL).,JONATHAN,QUICK,LOS,ANGELESKINGS
"Apr 05, 2007",Re-assigned to Manchester (AHL).,JONATHAN,QUICK,LOS,ANGELESKINGS
"Mar 30, 2007",Signed by the Los Angeles Kings to a multi-year contract.,JONATHAN,QUICK,LOS,ANGELESKINGS
