Date,Injury,Firstname,Lastname,City,TeamName
"Feb 21, 2018",Acquired from the Arizona Coyotes.,TOBIAS,RIEDER,LOS,ANGELESKINGS
"Nov 19, 2016",Missed 1 game (lower body injury).,TOBIAS,RIEDER,LOS,ANGELESKINGS
"Nov 17, 2016","Lower body injury, day-to-day.",TOBIAS,RIEDER,LOS,ANGELESKINGS
"Nov 04, 2016",Missed 1 game (lower body injury).,TOBIAS,RIEDER,LOS,ANGELESKINGS
"Nov 03, 2016","Lower body injury, day-to-day.",TOBIAS,RIEDER,LOS,ANGELESKINGS
"Oct 03, 2016",Re-signed as a restricted free agent by the Arizona Coyotes to a two-year contract.,TOBIAS,RIEDER,LOS,ANGELESKINGS
"Jun 27, 2016",Arizona Coyotes tendered a qualifying offer.,TOBIAS,RIEDER,LOS,ANGELESKINGS
"Nov 02, 2014",Recalled from the Portland Pirates (AHL).,TOBIAS,RIEDER,LOS,ANGELESKINGS
"Oct 02, 2014",Assigned to the Portland Pirates (AHL).,TOBIAS,RIEDER,LOS,ANGELESKINGS
"Sep 19, 2013",Assigned to Portland (AHL).,TOBIAS,RIEDER,LOS,ANGELESKINGS
"Apr 15, 2013",Signed by the Phoenix Coyotes to a three-year entry-level contract.,TOBIAS,RIEDER,LOS,ANGELESKINGS
"Mar 29, 2013",Acquired from the Edmonton Oilers.,TOBIAS,RIEDER,LOS,ANGELESKINGS
"Sep 19, 2011",Returned to his junior team (Kitchener-OHL).,TOBIAS,RIEDER,LOS,ANGELESKINGS
