Date,Injury,Firstname,Lastname,City,TeamName
"Jan 04, 2018",Missed 8 games (upper body injury).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Dec 21, 2017","Upper body injury, injured reserve.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Dec 15, 2017","Upper body injury, sidelined indefinitely.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Dec 14, 2017",Missed 1 game (undisclosed).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Dec 12, 2017","Undisclosed, day-to-day.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Nov 12, 2017",Missed 1 game (lower body injury).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Nov 09, 2017","Lower body injury, day-to-day.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Apr 09, 2017",Missed the last 41 regular season games (hip injury).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Jan 17, 2017","Hip injury, injured reserve.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Jan 08, 2017","Lower body injury, day-to-day.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Jan 03, 2017",Missed 15 games (lower body injury).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Nov 30, 2016","Lower body injury, injured reserve.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Nov 29, 2016","Lower body injury, day-to-day.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Oct 30, 2016",Missed 8 games (hip injury).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Oct 11, 2016","Hip injury, injured reserve.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"May 18, 2016",Missed the last playoff game (flu).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"May 16, 2016","Flu, day-to-day.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Apr 13, 2016",Missed the last 3 regular season games (lower body injury).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Apr 05, 2016","Lower body injury, day-to-day.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Mar 31, 2016",Missed 5 games (lower body injury).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Mar 19, 2016","Undisclosed, day-to-day.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Nov 21, 2015",Missed 1 game (lower body injury).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Nov 18, 2015","Lower body injury, day-to-day.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"May 16, 2015",Missed the last playoff game (appendectomy).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"May 12, 2015","Appendectomy, sidelined indefinitely.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Nov 01, 2014",Missed 5 games (lower body injury).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Oct 25, 2014","Lower body injury, injured reserve.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Oct 21, 2014","Undisclosed, day-to-day.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Jun 25, 2014",Signed by the Tampa Bay Lightning to a six-year contract extension.,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Mar 05, 2014",Acquired from the New York Rangers.,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Jan 03, 2014",Missed 9 games (sprained mcl).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Dec 11, 2013","Sprained MCL, injured reserve.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Nov 04, 2013",Missed 7 games (broken thumb).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Oct 23, 2013","Broken thumb, injured reserve.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Oct 17, 2013","Broken thumb, sidelined indefinitely.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Oct 07, 2013",Missed 1 game (shoulder injury).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Oct 01, 2013","Shoulder injury, injured reserve.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Feb 07, 2013",Missed 3 games (shoulder injury).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Feb 05, 2013","Shoulder injury, injured reserve.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Jan 31, 2013","Shoulder injury, day-to-day.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Mar 17, 2012",Missed 3 games (bruised foot).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Mar 11, 2012","Bruised foot, day-to-day.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Mar 06, 2012",Missed 3 games (bruised foot).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Mar 01, 2012","Bruised foot, day-to-day.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Jul 27, 2011",Re-signed as a restricted free agent by the New York Rangers to a three-year contract.,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Apr 23, 2011",Missed the last 2 games of the regular season and 5 playoff games (broken right leg).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Apr 07, 2011","Broken right leg, sidelined indefinitely.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Feb 01, 2011",Missed 19 games (broken left hand).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Dec 18, 2010","Broken left hand, injured reserve.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Dec 16, 2010","Broken left hand, sidelined indefinitely.",RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
"Nov 07, 2010",Missed 1 game (neck injury).,RYAN,CALLAHAN,TAMPA,BAYLIGHTNING
