Date,Injury,Firstname,Lastname,City,TeamName
"Dec 16, 2017",Missed 6 games (undisclosed).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Dec 02, 2017","Undisclosed, day-to-day.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Jan 12, 2017",Missed 2 games (upper body injury).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Jan 07, 2017","Upper body injury, day-to-day.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Mar 11, 2016",Missed 2 games (lower body injury).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Mar 07, 2016","Lower body injury, day-to-day.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Feb 26, 2016",Signed by the Tampa Bay Lightning to a three-year contract extension.,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Apr 15, 2015",Missed the last 14 regular season games (lower body injury).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Mar 12, 2015","Lower body injury, injured reserve.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Mar 02, 2015",Acquired from the Philadelphia Flyers.,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Feb 15, 2015",Missed 12 games (left foot injury).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Jan 17, 2015","Left foot injury, injured reserve.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Jan 13, 2015","Left foot injury, sidelined indefinitely.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Nov 08, 2014",Missed 12 games (lower body injury).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Oct 24, 2014","Lower body injury, injured reserve.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Oct 09, 2014","Lower body injury, day-to-day.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Apr 27, 2013",Missed the last 15 regular season games (separated left shoulder).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Mar 29, 2013","Separated left shoulder, injured reserve.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Nov 23, 2011",Missed 1 game (upper body injury).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Nov 21, 2011","Upper body injury, day-to-day.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Nov 09, 2011",Signed by the Philadelphia Flyers to a four-year contract extension.,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Jul 01, 2010",Re-signed as a restricted free agent by the Philadelphia Flyers to a two-year contract.,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Dec 15, 2009",Missed 1 game (ankle injury).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Dec 13, 2009","Ankle injury, day-to-day.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Feb 07, 2009",Missed 2 games (flu).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Jan 31, 2009","Flu, day-to-day.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"May 18, 2008","Missed Game 3, 4 and 5 of the Eastern Conference Finals against the Pittsburgh Penguins (eye injury).",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"May 12, 2008","Eye injury, day-to-day.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Feb 17, 2008",Missed 4 games (lower body injury).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Feb 10, 2008","Lower body injury, day-to-day.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Nov 28, 2007",Re-signed by the Philadelphia Flyers to a multi-year contract extension.,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Feb 27, 2007",Recalled from Chicago (AHL).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Feb 24, 2007",Acquired from the Atlanta Thrashers.,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Feb 07, 2007",Assigned to Chicago (AHL).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Jan 16, 2007",Missed 1 game (facial injury).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Jan 13, 2007","Facial injury, day-to-day.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Nov 15, 2006",Recalled from Chicago (AHL).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Oct 24, 2006",Missed 9 games (separated shoulder) and assigned to Chicago (AHL).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Sep 26, 2006","Separated shoulder, sidelined indefinitely.",BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Oct 26, 2005",Assigned to Chicago (AHL).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Apr 12, 2005",Signed by the Chicago Wolves (AHL).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Jul 29, 2004",Signed by the Atlanta Thrashers.,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
"Sep 28, 2003",Returned to his junior team (Portland-WHL).,BRAYDON,COBURN,TAMPA,BAYLIGHTNING
