Date,Injury,Firstname,Lastname,City,TeamName
"Dec 02, 2017",Recalled from the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Nov 26, 2017",Assigned to the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Nov 24, 2017",Recalled from the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Oct 02, 2017",Placed on waivers by the Tampa Bay Lightning for the purpose of being assigned to the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Jun 28, 2017",Signed by the Tampa Bay Lightning to a two-year contract extension.,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Apr 10, 2017",Assigned to the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Apr 05, 2017",Recalled from the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Feb 24, 2017",Assigned to the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Feb 22, 2017",Recalled from the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Feb 19, 2017",Assigned to the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Feb 18, 2017",Recalled from the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Dec 24, 2016",Assigned to the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Dec 16, 2016",Recalled from the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Dec 14, 2016",Recalled from the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Dec 14, 2016",Assigned to the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Nov 08, 2016",Assigned to the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Nov 06, 2016",Recalled from the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Oct 30, 2016",Assigned to the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Oct 28, 2016",Recalled from the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Oct 10, 2016",Placed on waivers by the Tampa Bay Lightning for the purpose of being assigned to the Syracuse Crunch (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Jul 13, 2016",Signed as a free agent by the Tampa Bay Lightning to a one-year contract.,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Mar 02, 2015",Acquired from the New York Islanders.,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Mar 02, 2015",Re-assigned to the Utica Comets (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Dec 13, 2014",Assigned to the Bridgeport Sound Tigers (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Dec 12, 2014",Placed on waivers by the New York Islanders.,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Jul 01, 2014",Signed as an unrestricted free agent by the New York Islanders to a one-year contract.,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Jun 30, 2014",Buffalo Sabres did not tender a qualifying offer.,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Mar 09, 2014",Missed 2 games (visa issues).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Mar 06, 2014","Visa issues, day-to-day.",CORY,CONACHER,TAMPA,BAYLIGHTNING
"Mar 05, 2014",Claimed off waivers from the Ottawa Senators.,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Mar 04, 2014",Placed on waivers by the Ottawa Senators.,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Apr 03, 2013",Acquired from the Tampa Bay Lightning.,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Jan 12, 2013",Recalled from Syracuse (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Sep 14, 2012",Assigned to Syracuse (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Mar 01, 2012",Signed by the Tampa Bay Lightning to a two-year two-way contract.,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Sep 25, 2011",Assigned to Norfolk (AHL).,CORY,CONACHER,TAMPA,BAYLIGHTNING
"Sep 14, 2011",Invited to training camp by the Tampa Bay Lightning.,CORY,CONACHER,TAMPA,BAYLIGHTNING
