Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Recalled from the Syracuse Crunch (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Feb 26, 2018",Assigned to the Syracuse Crunch (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Jan 29, 2018",Recalled from the Syracuse Crunch (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Jan 27, 2018",Assigned to the Syracuse Crunch (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Jan 16, 2018",Recalled from the Syracuse Crunch (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Jan 13, 2018",Assigned to the Syracuse Crunch (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Dec 30, 2017",Recalled from the Syracuse Crunch (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Nov 14, 2017",Acquired from the Arizona Coyotes.,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Nov 07, 2017",Assigned to the Tucson Roadrunners (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Nov 01, 2017",Recalled from the Tucson Roadrunners (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Oct 31, 2017",Assigned to the Tucson Roadrunners (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Oct 29, 2017",Placed on waivers by the Arizona Coyotes.,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Feb 22, 2017",Missed 3 games (lower body injury).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Feb 16, 2017","Lower body injury, day-to-day.",LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Dec 01, 2016",Missed 3 games (lower body injury).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Nov 27, 2016","Lower body injury, injured reserve.",LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Nov 25, 2016","Lower body injury, day-to-day.",LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Jun 27, 2016",Re-signed by the Arizona Coyotes to a two-year contract.,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Apr 07, 2016","Personal reasons, day-to-day.",LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Dec 11, 2015",Recalled from the Springfield Falcons (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Nov 24, 2015",Assigned to the Springfield Falcons (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Nov 23, 2015",Recalled from the Springfield Falcons (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Oct 04, 2015",Assigned to the Springfield Falcons (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Sep 05, 2015",Re-signed as a restricted free agent by the Arizona Coyotes to a one-year contract.,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Apr 13, 2015",Assigned to the Portland Pirates (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Feb 26, 2015",Recalled from the Portland Pirates (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Feb 09, 2015",Assigned to the Portland Pirates (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Jan 31, 2015",Recalled from the Portland Pirates (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Jan 04, 2015",Re-assigned to the Portland Pirates (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Jan 02, 2015",Re-assigned to the Gwinnett Gladiators (ECHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Oct 02, 2014",Assigned to the Portland Pirates (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Dec 07, 2013",Re-assigned to Portland (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Nov 20, 2013",Re-assigned to Gwinnett (ECHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Oct 30, 2013",Re-assigned to Portland (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Oct 04, 2013",Re-assigned to Gwinnett (ECHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Sep 19, 2013",Assigned to Portland (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Mar 02, 2013",Re-assigned to Gwinnett (ECHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Feb 16, 2013",Re-assigned to Portland (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Oct 04, 2012",Re-assigned to Gwinnett (ECHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Sep 15, 2012",Assigned to Portland (AHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Apr 19, 2012",Recalled from Quebec (QMJHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Sep 22, 2011",Returned to his junior team (Quebec-QMJHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Jun 01, 2011",Signed by the Phoenix Coyotes to a three-year entry-level contract.,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
"Sep 20, 2010",Returned to his junior team (Quebec-QMJHL).,LOUIS,DOMINGUE,TAMPA,BAYLIGHTNING
