Date,Injury,Firstname,Lastname,City,TeamName
"Dec 21, 2017",Missed 1 game (undisclosed).,JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"Dec 19, 2017","Undisclosed, day-to-day.",JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"Dec 09, 2017",Missed 8 games (undisclosed).,JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"Nov 24, 2017","Undisclosed, injured reserve.",JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"Nov 21, 2017","Undisclosed, day-to-day.",JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"Jul 05, 2017",Re-signed as a restricted free agent by the Tampa Bay Lightning to a two-year contract.,JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"Jun 26, 2017",Tampa Bay Lightning tendered a qualifying offer.,JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"Apr 10, 2017",Assigned to the Syracuse Crunch (AHL).,JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"Jan 30, 2017",Recalled from the Syracuse Crunch (AHL).,JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"Jan 27, 2017",Assigned to the Syracuse Crunch (AHL).,JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"Jan 17, 2017",Recalled from the Syracuse Crunch (AHL).,JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"Oct 02, 2016",Assigned to the Syracuse Crunch (AHL).,JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"May 18, 2016",Recalled from the Syracuse Crunch (AHL).,JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"Sep 27, 2015",Assigned to the Syracuse Crunch (AHL).,JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"May 04, 2015",Recalled from the Syracuse Crunch (AHL).,JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"Sep 27, 2014",Assigned to the Syracuse Crunch (AHL).,JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"Apr 19, 2014",Signed by the Tampa Bay Lightning to a three-year entry-level contract.,JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
"Sep 17, 2013",Returned to his junior team (Barrie-OHL).,JAKE,DOTCHIN,TAMPA,BAYLIGHTNING
