Date,Injury,Firstname,Lastname,City,TeamName
"Feb 08, 2018",Missed 3 games (lower body injury).,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Feb 01, 2018","Lower body injury, day-to-day.",DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Jan 17, 2018",Missed 2 games (neck injury).,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Jan 09, 2018","Neck injury, day-to-day.",DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Jul 01, 2017",Signed as an unrestricted free agent by the Tampa Bay Lightning to a two-year contract.,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Jun 14, 2017",Contract bought out by the New York Rangers.,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Mar 24, 2017",Missed 12 games (ankle injury).,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Feb 28, 2017","Ankle injury, injured reserve.",DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Feb 13, 2017",Missed 2 games (lower body injury).,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Feb 09, 2017","Lower body injury, day-to-day.",DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Oct 23, 2016",Missed 3 games (groin).,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Oct 17, 2016","Groin, day-to-day.",DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Apr 23, 2016",Missed the last 3 playoff games (undisclosed).,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Apr 15, 2016","Undisclosed, day-to-day.",DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Apr 13, 2016",Missed the last 2 regular season games (upper body injury).,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Apr 07, 2016","Upper body injury, day-to-day.",DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Jan 16, 2016",Missed 1 game (hand injury).,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Jan 14, 2016","Hand injury, day-to-day.",DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Dec 28, 2015",Missed 5 games (knee injury).,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Dec 15, 2015","Knee injury, day-to-day.",DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Feb 28, 2014",Signed by the New York Rangers to a six-year contract extension.,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Feb 10, 2013",Missed 2 games (lower body injury).,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Feb 05, 2013","Lower body injury, day-to-day.",DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Feb 01, 2011",Missed 2 games (rib injury).,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Jan 24, 2011","Rib injury, day-to-day.",DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Jul 09, 2010",Re-signed as a restricted free agent by the New York Rangers.,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Jul 05, 2010",Filed for salary arbitration.,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Feb 16, 2008",Signed by the New York Rangers to a two-year contract extension.,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Jan 26, 2007",Recalled from Hartford (AHL).,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Sep 28, 2006",Assigned to Hartford (AHL).,DAN,GIRARDI,TAMPA,BAYLIGHTNING
"Jul 01, 2006",Signed as a free agent by the New York Rangers.,DAN,GIRARDI,TAMPA,BAYLIGHTNING
