Date,Injury,Firstname,Lastname,City,TeamName
"Dec 21, 2017",Missed 1 game (undisclosed).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Dec 19, 2017","Undisclosed, day-to-day.",TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Jul 10, 2017",Re-signed as a restricted free agent by the Tampa Bay Lightning to a seven-year contract.,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Jul 05, 2017",Filed for salary arbitration.,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Jun 26, 2017",Tampa Bay Lightning tendered a qualifying offer.,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Apr 09, 2017",Missed the last 3 regular season games (lower body injury).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Apr 06, 2017","Lower body injury, day-to-day.",TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Apr 02, 2017",Missed 11 games (lower body injury).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Mar 11, 2017","Lower body injury, day-to-day.",TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Feb 18, 2017",Missed 2 games (lower body injury).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Feb 10, 2017","Undisclosed, day-to-day.",TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Dec 28, 2015",Missed 7 games (undisclosed).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Dec 14, 2015","Undisclosed, injured reserve.",TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Dec 12, 2015","Undisclosed, day-to-day.",TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Dec 06, 2015",Missed 3 games (undisclosed).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Nov 28, 2015","Undisclosed, day-to-day.",TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Nov 25, 2015",Missed 3 games (upper body injury).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Nov 16, 2015","Undisclosed, day-to-day.",TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Apr 04, 2015",Missed 3 games (upper body injury).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Mar 30, 2015","Upper body injury, day-to-day.",TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Jan 15, 2015",Missed 1 game (lower body injury).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Jan 13, 2015","Lower body injury, day-to-day.",TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Dec 20, 2014",Missed 1 game (illness).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Dec 19, 2014","Illness, day-to-day.",TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"May 23, 2014",Signed by the Tampa Bay Lightning to a three-year contract extension.,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Apr 12, 2013",Assigned to Syracuse (AHL).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Mar 14, 2013",Recalled from Syracuse (AHL).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Jan 17, 2013",Assigned to Syracuse (AHL).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Jan 13, 2013",Recalled from Syracuse (AHL).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Sep 14, 2012",Assigned to Syracuse (AHL).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Sep 25, 2011",Assigned to Norfolk (AHL).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Mar 07, 2011",Signed by the Tampa Bay Lightning to a three-year entry-level contract.,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Sep 16, 2009",Returned to his junior team (Spokane-WHL).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Sep 12, 2009",Invited to training camp by the Minnesota Wild.,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Sep 22, 2008",Returned to his junior team (Spokane-WHL).,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
"Sep 18, 2008",Invited to training camp by the Phoenix Coyotes.,TYLER,JOHNSON,TAMPA,BAYLIGHTNING
