Date,Injury,Firstname,Lastname,City,TeamName
"Nov 03, 2017","Fined $5,000 by the NHL.",ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Feb 10, 2017",Missed 1 game (undisclosed).,ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Feb 07, 2017","Undisclosed, day-to-day.",ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Jul 17, 2016",Re-signed as a restricted free agent by the Tampa Bay Lightning to a seven-year contract.,ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Jul 05, 2016",Filed for salary arbitration.,ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Jun 27, 2016",Tampa Bay Lightning tendered a qualifying offer.,ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Oct 17, 2015",Missed 1 game (upper body injury).,ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Oct 15, 2015","Upper body injury, day-to-day.",ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Apr 16, 2015",Missed the last 3 regular season games (undisclosed).,ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Apr 04, 2015","Undisclosed, day-to-day.",ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Nov 13, 2014",Missed 4 games (upper body injury).,ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Nov 06, 2014","Upper body injury, day-to-day.",ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Oct 28, 2014",Missed 4 games (upper body injury).,ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Oct 25, 2014","Upper body injury, injured reserve.",ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Oct 20, 2014","Upper body injury, day-to-day.",ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Jun 19, 2014",Signed by the Tampa Bay Lightning to a two-year contract extension.,ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Feb 10, 2013",Recalled from Syracuse (AHL).,ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Sep 14, 2012",Assigned to Syracuse (AHL).,ALEX,KILLORN,TAMPA,BAYLIGHTNING
"Mar 19, 2012",Signed by the Tampa Bay Lightning to a two-year two-way contract.,ALEX,KILLORN,TAMPA,BAYLIGHTNING
