Date,Injury,Firstname,Lastname,City,TeamName
"Jul 03, 2017",Re-signed as a restricted free agent by the Tampa Bay Lightning to a one-year contract.,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Jun 26, 2017",Tampa Bay Lightning tendered a qualifying offer.,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Mar 25, 2017",Assigned to the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Mar 24, 2017",Recalled from the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Jan 10, 2017",Assigned to the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Dec 12, 2016",Recalled from the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Dec 09, 2016",Assigned to the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Oct 31, 2016",Recalled from the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Oct 19, 2016",Assigned to the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Apr 21, 2016",Recalled from the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Apr 07, 2016",Assigned to the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Mar 26, 2016",Recalled from the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Mar 11, 2016",Assigned to the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Mar 06, 2016",Recalled from the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Feb 22, 2016",Assigned to the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Feb 11, 2016",Recalled from the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Oct 18, 2015",Assigned to the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Oct 16, 2015",Recalled from the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Oct 07, 2015",Assigned to the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"May 04, 2015",Recalled from the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Apr 08, 2015",Assigned to the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Mar 31, 2015",Recalled from the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Sep 27, 2014",Assigned to the Syracuse Crunch (AHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Sep 21, 2013",Returned to his junior team (Windsor-OHL).,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
"Mar 20, 2013",Signed by the Tampa Bay Lightning to a three-year entry-level contract.,SLATER,KOEKKOEK,TAMPA,BAYLIGHTNING
