Date,Injury,Firstname,Lastname,City,TeamName
"Feb 28, 2018","Upper body injury, day-to-day.",NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Apr 01, 2017",Missed 1 game (illness).,NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Mar 30, 2017","Illness, day-to-day.",NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Dec 28, 2016",Missed 6 games (lower body injury).,NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Dec 17, 2016","Lower body injury, injured reserve.",NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Dec 14, 2016","Undisclosed, day-to-day.",NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Oct 30, 2016",Missed 1 game (upper body injury).,NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Oct 28, 2016","Upper body injury, day-to-day.",NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Oct 11, 2016",Re-signed as a restricted free agent by the Tampa Bay Lightning to a three-year contract.,NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Jun 27, 2016",Tampa Bay Lightning tendered a qualifying offer.,NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Mar 31, 2016",Missed 2 games (lower body injury).,NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Mar 26, 2016","Undisclosed, day-to-day.",NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Feb 26, 2016",Missed 2 games (lower body injury).,NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Feb 21, 2016","Lower body injury, day-to-day.",NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Nov 24, 2013",Recalled from Syracuse (AHL).,NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Sep 29, 2013",Assigned to Syracuse (AHL).,NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
"Sep 10, 2012",Signed by the Tampa Bay Lightning to a three-year entry-level contract.,NIKITA,KUCHEROV,TAMPA,BAYLIGHTNING
