Date,Injury,Firstname,Lastname,City,TeamName
"Jul 01, 2017",Signed as an unrestricted free agent by the Tampa Bay Lightning to a one-year contract.,CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Apr 27, 2017",Missed the last 5 regular season and first 5 playoff games (lower body injury).,CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Apr 01, 2017","Lower body injury, sidelined indefinitely.",CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Dec 03, 2016",Missed 6 games (lower body injury).,CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Nov 21, 2016","Lower body injury, injured reserve.",CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Feb 02, 2016",Missed 2 games (lower body injury).,CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Jan 23, 2016","Lower body injury, day-to-day.",CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Dec 20, 2014",Missed 8 games (fractured foot).,CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Dec 08, 2014","Fractured foot, injured reserve.",CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Dec 02, 2014","Fractured foot, sidelined indefinitely.",CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Apr 13, 2014",Missed 1 game (undisclosed).,CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Apr 12, 2014","Undisclosed, day-to-day.",CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Apr 09, 2014",Missed 1 game (lower body injury).,CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Apr 06, 2014","Lower body injury, day-to-day.",CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Mar 18, 2014",Missed 2 games (leg injury).,CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Mar 15, 2014","Leg injury, day-to-day.",CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Jun 27, 2013",Signed by the Pittsburgh Penguins to a three-year contract extension.,CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Oct 13, 2011",Signed by the Pittsburgh Penguins to a two-year contract extension.,CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Apr 23, 2011",Missed 1 playoff game (suspension).,CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Apr 19, 2011",Suspended by the NHL for one game.,CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Mar 08, 2011",Missed 13 games (lower body injury).,CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Mar 02, 2011","Lower body injury, day-to-day.",CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Feb 10, 2011","Lower body injury, injured reserve.",CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Feb 08, 2011","Undisclosed, day-to-day.",CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
"Dec 20, 2010",Missed 2 games (undisclosed).,CHRIS,KUNITZ,TAMPA,BAYLIGHTNING
