Date,Injury,Firstname,Lastname,City,TeamName
"Nov 03, 2017","Fined $5,000 by the NHL.",STEVEN,STAMKOS,TAMPA,BAYLIGHTNING
"Apr 09, 2017",Missed the last 65 regular season games (right knee injury).,STEVEN,STAMKOS,TAMPA,BAYLIGHTNING
"Nov 21, 2016","Right knee injury, injured reserve.",STEVEN,STAMKOS,TAMPA,BAYLIGHTNING
"Nov 16, 2016","Right knee injury, sidelined indefinitely.",STEVEN,STAMKOS,TAMPA,BAYLIGHTNING
"Jun 29, 2016",Re-signed by the Tampa Bay Lightning to an eight-year contract.,STEVEN,STAMKOS,TAMPA,BAYLIGHTNING
"May 26, 2016",Missed the last 5 regular season and first 16 playoff games (blood clots).,STEVEN,STAMKOS,TAMPA,BAYLIGHTNING
"Apr 02, 2016","Blood clots, sidelined indefinitely.",STEVEN,STAMKOS,TAMPA,BAYLIGHTNING
"Mar 05, 2014",Missed 45 games (broken right tibia).,STEVEN,STAMKOS,TAMPA,BAYLIGHTNING
"Nov 12, 2013","Broken right tibia, injured reserve.",STEVEN,STAMKOS,TAMPA,BAYLIGHTNING
"Nov 11, 2013","Broken right tibia, sidelined indefinitely.",STEVEN,STAMKOS,TAMPA,BAYLIGHTNING
"Jul 19, 2011",Re-signed as a restricted free agent by the Tampa Bay Lightning to a five-year contract.,STEVEN,STAMKOS,TAMPA,BAYLIGHTNING
"Jul 29, 2008",Signed by the Tampa Bay Lightning to a three-year entry-level contract.,STEVEN,STAMKOS,TAMPA,BAYLIGHTNING
