Date,Injury,Firstname,Lastname,City,TeamName
"Jun 26, 2017",Signed by the Tampa Bay Lightning to a one-year contract extension.,ANDREJ,SUSTR,TAMPA,BAYLIGHTNING
"Mar 08, 2016",Missed 3 games (undisclosed).,ANDREJ,SUSTR,TAMPA,BAYLIGHTNING
"Mar 02, 2016","Undisclosed, day-to-day.",ANDREJ,SUSTR,TAMPA,BAYLIGHTNING
"Jun 30, 2015",Re-signed by the Tampa Bay Lightning to a two-year contract.,ANDREJ,SUSTR,TAMPA,BAYLIGHTNING
"Apr 15, 2015",Missed the last 6 regular season games (upper body injury).,ANDREJ,SUSTR,TAMPA,BAYLIGHTNING
"Mar 30, 2015","Upper body injury, day-to-day.",ANDREJ,SUSTR,TAMPA,BAYLIGHTNING
"Nov 06, 2014",Missed 1 game (upper body injury).,ANDREJ,SUSTR,TAMPA,BAYLIGHTNING
"Nov 01, 2014","Upper body injury, day-to-day.",ANDREJ,SUSTR,TAMPA,BAYLIGHTNING
"Jul 04, 2014",Re-signed as a restricted free agent by the Tampa Bay Lightning to a one-year contract.,ANDREJ,SUSTR,TAMPA,BAYLIGHTNING
"Jun 30, 2014",Tampa Bay Lightning tendered a qualifying offer.,ANDREJ,SUSTR,TAMPA,BAYLIGHTNING
"Apr 04, 2014",Recalled from the Syracuse Crunch (AHL).,ANDREJ,SUSTR,TAMPA,BAYLIGHTNING
"Jan 17, 2014",Assigned to the Syracuse Crunch (AHL).,ANDREJ,SUSTR,TAMPA,BAYLIGHTNING
"Apr 03, 2013",Assigned to Syracuse (AHL).,ANDREJ,SUSTR,TAMPA,BAYLIGHTNING
"Mar 21, 2013",Signed as a free agent by the Tampa Bay Lightning to a two-year entry-level contract.,ANDREJ,SUSTR,TAMPA,BAYLIGHTNING
