Date,Injury,Firstname,Lastname,City,TeamName
"Jul 01, 2016",Signed by the Tampa Bay Lightning to a three-year contract extension.,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Feb 27, 2016",Recalled from the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Feb 25, 2016",Assigned to the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Feb 14, 2016",Recalled from the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Feb 12, 2016",Assigned to the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Jan 01, 2016",Recalled from the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Dec 17, 2015",Assigned to the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Dec 13, 2015",Recalled from the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Dec 10, 2015",Assigned to the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Nov 01, 2015",Recalled from the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Nov 01, 2015",Missed 12 games (blood clots).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Oct 28, 2015",Assigned to the Syracuse Crunch (AHL) for conditioning purposes.,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Oct 06, 2015","Blood clots, injured reserve.",ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Mar 02, 2015",Assigned to the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Mar 02, 2015",Recalled from the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Feb 26, 2015",Recalled from the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Feb 25, 2015",Assigned to the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Feb 01, 2015",Recalled from the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Jan 01, 2015",Assigned to the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Dec 30, 2014",Recalled from the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Dec 24, 2014",Assigned to the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Dec 16, 2014",Recalled from the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"Sep 27, 2014",Assigned to the Syracuse Crunch (AHL).,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
"May 06, 2014",Signed by the Tampa Bay Lightning to a three-year entry-level contract.,ANDREI,VASILEVSKIY,TAMPA,BAYLIGHTNING
