Date,Injury,Firstname,Lastname,City,TeamName
"Dec 06, 2017",Missed 1 game (illness).,TYLER,BOZAK,TORONTO,MAPLELEAFS
"Dec 02, 2017","Illness, day-to-day.",TYLER,BOZAK,TORONTO,MAPLELEAFS
"Feb 28, 2017",Missed 1 game (illness).,TYLER,BOZAK,TORONTO,MAPLELEAFS
"Feb 25, 2017","Illness, day-to-day.",TYLER,BOZAK,TORONTO,MAPLELEAFS
"Dec 28, 2016",Missed 3 games (lower body injury).,TYLER,BOZAK,TORONTO,MAPLELEAFS
"Dec 19, 2016","Lower body injury, day-to-day.",TYLER,BOZAK,TORONTO,MAPLELEAFS
"Mar 23, 2016",Missed 21 games (upper body injury).,TYLER,BOZAK,TORONTO,MAPLELEAFS
"Feb 11, 2016","Upper body injury, injured reserve.",TYLER,BOZAK,TORONTO,MAPLELEAFS
"Feb 09, 2016","Upper body injury, day-to-day.",TYLER,BOZAK,TORONTO,MAPLELEAFS
"Oct 30, 2015",Missed 4 games (lower body injury).,TYLER,BOZAK,TORONTO,MAPLELEAFS
"Oct 23, 2015","Lower body injury, injured reserve.",TYLER,BOZAK,TORONTO,MAPLELEAFS
"Oct 17, 2015","Lower body injury, day-to-day.",TYLER,BOZAK,TORONTO,MAPLELEAFS
"Dec 28, 2013",Missed 12 games (strained oblique muscle).,TYLER,BOZAK,TORONTO,MAPLELEAFS
"Dec 05, 2013","Strained oblique muscle, injured reserve.",TYLER,BOZAK,TORONTO,MAPLELEAFS
"Nov 25, 2013",Missed 12 games (lower body injury).,TYLER,BOZAK,TORONTO,MAPLELEAFS
"Oct 27, 2013","Lower body injury, injured reserve.",TYLER,BOZAK,TORONTO,MAPLELEAFS
"Oct 26, 2013","Lower body injury, day-to-day.",TYLER,BOZAK,TORONTO,MAPLELEAFS
"Jul 05, 2013",Re-signed as an unrestricted free agent by the Toronto Maple Leafs to a five-year contract.,TYLER,BOZAK,TORONTO,MAPLELEAFS
"May 13, 2013",Missed the last 2 playoff games (upper body injury).,TYLER,BOZAK,TORONTO,MAPLELEAFS
"May 12, 2013","Upper body injury, day-to-day.",TYLER,BOZAK,TORONTO,MAPLELEAFS
"May 01, 2013",Missed the last 2 regular season games (upper body injury).,TYLER,BOZAK,TORONTO,MAPLELEAFS
"Apr 25, 2013","Upper body injury, day-to-day.",TYLER,BOZAK,TORONTO,MAPLELEAFS
"Jan 17, 2012",Missed 7 games (shoulder injury).,TYLER,BOZAK,TORONTO,MAPLELEAFS
"Dec 31, 2011","Shoulder injury, injured reserve.",TYLER,BOZAK,TORONTO,MAPLELEAFS
"Oct 27, 2011",Missed 2 games (foot injury).,TYLER,BOZAK,TORONTO,MAPLELEAFS
"Oct 24, 2011","Foot injury, day-to-day.",TYLER,BOZAK,TORONTO,MAPLELEAFS
"Jul 06, 2011",Re-signed as a restricted free agent by the Toronto Maple Leafs to a two-year contract.,TYLER,BOZAK,TORONTO,MAPLELEAFS
"Jan 12, 2010",Recalled from Toronto (AHL).,TYLER,BOZAK,TORONTO,MAPLELEAFS
"Oct 15, 2009",Assigned to Toronto (AHL).,TYLER,BOZAK,TORONTO,MAPLELEAFS
"Oct 13, 2009",Recalled from Toronto (AHL).,TYLER,BOZAK,TORONTO,MAPLELEAFS
"Sep 30, 2009",Assigned to Toronto (AHL).,TYLER,BOZAK,TORONTO,MAPLELEAFS
"Apr 03, 2009",Signed as a free agent by the Toronto Maple Leafs to a two-year entry-level contract.,TYLER,BOZAK,TORONTO,MAPLELEAFS
