Date,Injury,Firstname,Lastname,City,TeamName
"Oct 14, 2017",Missed 2 games (upper body injury).,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Oct 09, 2017","Upper body injury, day-to-day.",CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Mar 20, 2017",Missed 11 games (upper body injury).,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Feb 27, 2017","Upper body injury, injured reserve.",CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Feb 22, 2017","Upper body injury, day-to-day.",CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Jul 22, 2016",Re-signed as a restricted free agent by the Toronto Maple Leafs to a two-year contract.,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Mar 31, 2016",Assigned to the Toronto Marlies (AHL).,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Feb 29, 2016",Recalled from the Toronto Marlies (AHL).,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Feb 28, 2016",Acquired from the Washington Capitals.,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Feb 08, 2016",Assigned to the Hershey Bears (AHL).,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Feb 05, 2016",Recalled from the Hershey Bears (AHL).,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Jan 01, 2016",Assigned to the Hershey Bears (AHL).,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Dec 26, 2015",Recalled from the Hershey Bears (AHL).,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Dec 22, 2015",Assigned to the Hershey Bears (AHL).,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Dec 17, 2015",Recalled from the Hershey Bears (AHL).,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Oct 02, 2014",Assigned to the Hershey Bears (AHL).,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Jan 08, 2014",Recalled from the Hershey Bears (AHL).,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Oct 11, 2013",Assigned to Hershey (AHL).,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Sep 23, 2013",Signed by the Washington Capitals to a three-year entry-level contract.,CONNOR,CARRICK,TORONTO,MAPLELEAFS
"Apr 30, 2013",Re-assigned to Hershey (AHL).,CONNOR,CARRICK,TORONTO,MAPLELEAFS
